sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16119242752,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16238780416,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16318472192,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16561741824,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16733708288,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16851148800,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17016823808,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,17199276032,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,17381728256,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5000000000,0,17536917504,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5500000000,0,17677426688,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6000000000,0,17952153600,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6500000000,0,18119925760,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7000000000,0,18325446656,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7500000000,0,18533064704,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8000000000,0,18759557120,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8500000000,0,18971369472,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9000000000,0,19187376128,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9500000000,0,19325788160,19327352832,0,137438953472,18874368,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,18874368,0,0,0,0
10000000000,0,19325788160,19327352832,0,137438953472,37748736,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,37748736,0,0,0,0
10500000000,0,19325788160,19327352832,0,137438953472,56623104,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,56623104,0,0,0,0
11000000000,0,19325788160,19327352832,0,137438953472,75497472,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,75497472,0,0,0,0
11500000000,0,19325788160,19327352832,0,137438953472,94371840,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,94371840,0,0,0,0
12000000000,0,19325788160,19327352832,0,137438953472,132120576,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,132120576,0,0,0,0
12500000000,0,19325788160,19327352832,0,137438953472,150994944,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,150994944,0,0,0,0
13000000000,0,19325788160,19327352832,0,137438953472,169869312,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,169869312,0,0,0,0
13500000000,0,19325788160,19327352832,0,137438953472,190840832,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,190840832,0,0,0,0
14000000000,0,19325788160,19327352832,0,137438953472,211812352,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,211812352,0,0,0,0
14500000000,0,19325788160,19327352832,0,137438953472,253755392,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,253755392,0,0,0,0
15000000000,0,19325788160,19327352832,0,137438953472,274726912,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,274726912,0,0,0,0
15500000000,0,19325788160,19327352832,0,137438953472,295698432,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,295698432,0,0,0,0
16000000000,0,19325788160,19327352832,0,137438953472,316669952,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,316669952,0,0,0,0
16500000000,0,19325788160,19327352832,0,137438953472,274726912,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,316669952,41943040,0,0,0
17000000000,0,19325788160,19327352832,0,137438953472,232783872,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,316669952,83886080,0,0,0
17500000000,0,19325788160,19327352832,0,137438953472,150994944,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,316669952,165675008,0,0,0
18000000000,0,19290136576,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,316669952,316669952,0,0,0
18500000000,0,19313205248,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,316669952,316669952,0,0,0
19000000000,0,19313205248,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,316669952,316669952,0,0,0
