sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16081494016,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16366706688,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16387678208,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16656113664,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,17008435200,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,17287356416,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17444642816,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,18063302656,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,18065399808,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5000000000,0,18342223872,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5500000000,0,18417721344,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6000000000,0,18405138432,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6500000000,0,18606465024,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7000000000,0,18723905536,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7500000000,0,18939912192,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8000000000,0,19040575488,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8500000000,0,19216736256,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9000000000,0,19325788160,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9500000000,0,19325788160,19327352832,0,137438953472,2097152,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2097152,0,0,0,0
10000000000,0,19325788160,19327352832,0,137438953472,10485760,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,10485760,0,0,0,0
10500000000,0,19325788160,19327352832,0,137438953472,14680064,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,14680064,0,0,0,0
11000000000,0,19325788160,19327352832,0,137438953472,46137344,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,46137344,0,0,0,0
11500000000,0,19325788160,19327352832,0,137438953472,54525952,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,54525952,0,0,0,0
12000000000,0,19325788160,19327352832,0,137438953472,75497472,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,75497472,0,0,0,0
12500000000,0,19325788160,19327352832,0,137438953472,75497472,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,85983232,10485760,0,0,0
13000000000,0,19325788160,19327352832,0,137438953472,85983232,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,106954752,20971520,0,0,0
13500000000,0,19325788160,19327352832,0,137438953472,75497472,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,127926272,52428800,0,0,0
14000000000,0,19325788160,19327352832,0,137438953472,85983232,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,138412032,52428800,0,0,0
14500000000,0,19325788160,19327352832,0,137438953472,75497472,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,144703488,69206016,0,0,0
15000000000,0,19325788160,19327352832,0,137438953472,46137344,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,155189248,109051904,0,0,0
15500000000,0,19325788160,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,155189248,155189248,0,0,0
16000000000,0,19325788160,19327352832,0,137438953472,2097152,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,157286400,155189248,0,0,0
16500000000,0,19325788160,19327352832,0,137438953472,4194304,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,159383552,155189248,0,0,0
17000000000,0,19325788160,19327352832,0,137438953472,60817408,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,216006656,155189248,0,0,0
17500000000,0,19325788160,19327352832,0,137438953472,67108864,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,222298112,155189248,0,0,0
18000000000,0,19325788160,19327352832,0,137438953472,69206016,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,224395264,155189248,0,0,0
18500000000,0,19325788160,19327352832,0,137438953472,73400320,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,228589568,155189248,0,0,0
19000000000,0,19325788160,19327352832,0,137438953472,4194304,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,230686720,226492416,0,0,0
19500000000,0,19325788160,19327352832,0,137438953472,25165824,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,251658240,226492416,0,0,0
20000000000,0,19325788160,19327352832,0,137438953472,69206016,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,295698432,226492416,0,0,0
20500000000,0,19267067904,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,295698432,295698432,0,0,0
21000000000,0,19325788160,19327352832,0,137438953472,0,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,295698432,295698432,0,0,0
21500000000,0,19325788160,19327352832,0,137438953472,4194304,68719476736,0,0,0,0,0,0,0,0,0.00,0,0,0,0,299892736,295698432,0,0,0
