sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16119242752,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16238780416,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16318472192,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16561741824,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16733708288,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16851148800,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17016823808,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,17199276032,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,17381728256,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5000000000,0,17536917504,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5500000000,0,17677426688,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6000000000,0,17952153600,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6500000000,0,18119925760,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7000000000,0,18325446656,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
