sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16083591168,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16175865856,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16215711744,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16521895936,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16624656384,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16737902592,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17079738368,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,17125875712,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,17186693120,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5000000000,0,17065058304,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5500000000,0,17098612736,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6000000000,0,17138458624,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6500000000,0,17090224128,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7000000000,0,17048281088,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7500000000,0,17021018112,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8000000000,0,16909869056,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8500000000,0,16924549120,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9000000000,0,16928743424,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9500000000,0,16932937728,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
10000000000,0,16886800384,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
10500000000,0,16586907648,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
11000000000,0,16607879168,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
11500000000,0,16628850688,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
12000000000,0,16454787072,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
12500000000,0,16412844032,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
13000000000,0,16429621248,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
13500000000,0,16444301312,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
14000000000,0,16316375040,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
14500000000,0,16259751936,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
15000000000,0,16266043392,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
15500000000,0,16276529152,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
16000000000,0,16211517440,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
16500000000,0,16215711744,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
17000000000,0,16222003200,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
17500000000,0,16140214272,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
18000000000,0,16142311424,19327352832,0,137438953472,0,274877906944,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
