sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16083591168,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16175865856,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16215711744,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16521895936,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16624656384,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16737902592,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17079738368,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,17169915904,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,17163624448,17179869184,16777216,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,16777216,0,0,0,0,0,0
5000000000,0,17165721600,17179869184,16777216,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,16777216,0,0,0,0,0,0
5500000000,0,17167818752,17179869184,16777216,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,16777216,0,0,0,0,0,0
6000000000,0,17169915904,17179869184,16777216,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,16777216,0,0,0,0,0,0
6500000000,0,17174110208,17179869184,16777216,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,16777216,0,0,0,0,0,0
7000000000,0,17176207360,17179869184,16777216,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,16777216,0,0,0,0,0,0
7500000000,0,17178304512,17179869184,16777216,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,16777216,0,0,0,0,0,0
8000000000,0,17163624448,17179869184,33554432,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,33554432,0,0,0,0,0,0
8500000000,0,17167818752,17179869184,33554432,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,33554432,0,0,0,0,0,0
9000000000,0,17169915904,17179869184,33554432,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,33554432,0,0,0,0,0,0
9500000000,0,17172013056,17179869184,33554432,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,33554432,0,0,0,0,0,0
10000000000,0,17174110208,17179869184,33554432,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,33554432,0,0,0,0,0,0
10500000000,0,17176207360,17179869184,33554432,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,33554432,0,0,0,0,0,0
11000000000,0,17174110208,17179869184,41943040,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,58720256,16777216,0,0,0,0,0
11500000000,0,17157332992,17179869184,41943040,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,58720256,16777216,0,0,0,0,0
