sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16083591168,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,8,0,0,0,0.000000,0,0.000000
1000000000,0,16171671552,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,8,0,0,0,0.000000,0,0.000000
1500000000,0,16192643072,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,8,0,0,0,0.000000,0,0.000000
2000000000,0,16215711744,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,8,0,0,0,0.000000,0,0.000000
2500000000,0,16236683264,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,8,0,0,0,0.000000,0,0.000000
3000000000,0,16255557632,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,8,0,0,0,0.000000,0,0.000000
3500000000,0,16253460480,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,7,0,0,0,0.000000,0,0.000000
4000000000,0,16222003200,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,5,0,0,0,0.000000,0,0.000000
4500000000,0,16234586112,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,5,0,0,0,0.000000,0,0.000000
5000000000,0,16249266176,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,5,0,0,0,0.000000,0,0.000000
5500000000,0,16259751936,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,5,0,0,0,0.000000,0,0.000000
6000000000,0,16274432000,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,5,0,0,0,0.000000,0,0.000000
6500000000,0,16249266176,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000000,0,0.000000
7000000000,0,16261849088,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000000,0,0.000000
7500000000,0,16270237696,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000000,0,0.000000
8000000000,0,16280723456,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000000,0,0.000000
8500000000,0,16249266176,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000000,0,0.000000
9000000000,0,16159088640,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000000,0,0.000000
9500000000,0,16163282944,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000000,0,0.000000
10000000000,0,16169574400,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000000,0,0.000000
10500000000,0,16173768704,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000000,0,0.000000
11000000000,0,16121339904,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
11500000000,0,16123437056,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
12000000000,0,16125534208,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
12500000000,0,16129728512,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
13000000000,0,16131825664,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
13500000000,0,16133922816,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
14000000000,0,16136019968,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
14500000000,0,16138117120,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
15000000000,0,16140214272,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
15500000000,0,16144408576,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
16000000000,0,16146505728,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,0,0.000000
