sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16081494016,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16366706688,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16387678208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16656113664,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,17008435200,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,17052475392,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17121681408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,10485760,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17178304512,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,39845888,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,39845888,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17178304512,17179869184,48234496,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,48234496,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17159430144,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,73400320,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17165721600,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,73400320,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,73400320,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17169915904,17179869184,88080384,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,88080384,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17174110208,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,88080384,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17178304512,17179869184,48234496,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,98566144,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17167818752,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17174110208,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17178304512,17179869184,48234496,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,136314880,88080384,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17163624448,17179869184,67108864,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,155189248,88080384,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17167818752,17179869184,67108864,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,155189248,88080384,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,155189248,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17178304512,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,176160768,155189248,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,184549376,184549376,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17178304512,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,195035136,184549376,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17178304512,17179869184,29360128,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,213909504,184549376,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17178304512,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,184549376,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17178304512,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,239075328,207618048,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17178304512,17179869184,44040192,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,251658240,207618048,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17178304512,17179869184,52428800,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,260046848,207618048,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17104904192,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,274726912,274726912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17169915904,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,274726912,274726912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17178304512,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,289406976,274726912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17178304512,17179869184,29360128,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,304087040,274726912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17178304512,17179869184,46137344,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,320864256,274726912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17178304512,17179869184,58720256,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,333447168,274726912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17176207360,17179869184,90177536,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,364904448,274726912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17065058304,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,364904448,364904448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17046183936,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,364904448,364904448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17086029824,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,364904448,364904448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17081835520,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,364904448,364904448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17174110208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,364904448,364904448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17178304512,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,369098752,364904448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17178304512,17179869184,8388608,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,373293056,364904448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23500000000,0,17167818752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,373293056,373293056,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
24000000000,0,17172013056,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,379584512,379584512,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
