sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16081494016,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
1000000000,0,16366706688,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
1500000000,0,16387678208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
2000000000,0,16656113664,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,299,0,0,0,0.000000,0,0.000000
2500000000,0,17008435200,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,299,0,0,0,0.000000,0,0.000000
3000000000,0,17052475392,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,298,0,0,0,0.000000,0,0.000000
3500000000,0,17121681408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,298,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,298,0,0,0,0.000000,0,0.000000
4500000000,0,16991657984,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,224395264,224395264,0,0,0,0,0,297,1,0,0,1.000000,0,0.004023
5000000000,0,17054572544,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,224395264,224395264,0,0,0,0,0,297,0,1,0,1.000000,0,0.005799
5500000000,0,17132167168,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,224395264,224395264,0,0,0,0,0,297,0,1,0,1.000000,0,0.004877
6000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,224395264,224395264,0,0,0,0,0,296,0,1,0,1.000000,0,0.004213
6500000000,0,17060864000,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,373293056,373293056,0,0,0,0,0,295,2,0,0,1.000000,0,0.005751
7000000000,0,17075544064,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,373293056,373293056,0,0,0,0,0,293,0,2,0,1.000000,0,0.010603
7500000000,0,17140555776,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,373293056,373293056,0,0,0,0,0,293,0,2,0,1.000000,0,0.009610
8000000000,0,17172013056,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,373293056,373293056,0,0,0,0,0,292,0,2,0,1.000000,0,0.008796
8500000000,0,17008435200,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,520093696,520093696,0,0,0,0,0,289,1,2,0,1.000000,0,0.010274
9000000000,0,17062961152,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,520093696,520093696,0,0,0,0,0,289,0,3,0,1.000000,0,0.010196
9500000000,0,17041989632,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,520093696,520093696,0,0,0,0,0,287,0,3,0,1.000000,0,0.009579
