sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16119242752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16238780416,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16318472192,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16561741824,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16733708288,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16851148800,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17016823808,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18874368,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17172013056,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,56623104,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75497472,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17178304512,17179869184,94371840,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,94371840,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17178304512,17179869184,113246208,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,113246208,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,132120576,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,132120576,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,186646528,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,186646528,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17178304512,17179869184,213909504,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,213909504,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17178304512,17179869184,241172480,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,241172480,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17178304512,17179869184,268435456,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,268435456,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,295698432,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,295698432,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17178304512,17179869184,348127232,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,348127232,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17178304512,17179869184,373293056,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,373293056,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
