instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,meta-llama/Llama-3.1-8B,27,55,587870262,1618421347,1030551085,4925957,33473580,36928796,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,14,meta-llama/Llama-3.1-8B,4,28,1601985365,2951140733,1349155368,16435982,43965212,56747398,"[285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,3,meta-llama/Llama-3.1-8B,26,209,570907775,9625202560,9054294785,21888444,50436067,49471751,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 3149245916, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26349776, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 100473463, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,2,meta-llama/Llama-3.1-8B,19,263,479613520,10975440590,10495827070,13088220,39885292,43028566,"[24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 3149245916, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26349776, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 25051829, 25051829, 25051829, 25317976, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25304821, 25304821, 25304821, 25304821, 25304821]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,6,meta-llama/Llama-3.1-8B,10,245,610813767,11076731338,10465917571,10530075,37332893,44566601,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 3149245916, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26349776, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 100473463, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 151846792, 25322687, 25322687, 25322687]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,0,meta-llama/Llama-3.1-8B,85,501,46926808,11757534367,11710607559,0,29098963,28148213,"[24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 26914221, 24481019, 24481019, 24481019, 24481019, 26797072, 24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 24833243, 24833243, 24833243, 24833243, 24833243, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25069971, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 27738094, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26349776, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 25051829, 25051829, 25051829, 25317976, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25304821, 25304821, 25304821, 25304821, 25304821, 25322687, 25322687, 25322687, 25322687, 26924093, 26695203, 26695203, 25897854, 25897854, 26542213, 26475376, 26475376, 26475376, 26475376, 26475376, 26475376, 26042517, 26042517, 26042517, 26042517, 25335007, 25335007, 25335007, 25335007, 25335007, 26551746, 26475376, 26475376, 26475376, 26475376]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,23,meta-llama/Llama-3.1-8B,21,134,2013730478,12930670479,10916940001,25537104,55284984,96979062,"[26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 3175766804, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 2978824531, 26695203, 26695203, 627247448, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 747139879, 26615821]",0,0,0,CPU,16777216,0,16777216,0,16777216,16777216,1.0,hot,0,0,0,0,1.0,33554432
0,1,meta-llama/Llama-3.1-8B,9,342,347938951,13036882559,12688943608,19924492,46838713,38078629,"[24481019, 24481019, 24481019, 24481019, 26797072, 24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 24833243, 24833243, 24833243, 24833243, 24833243, 3025079701, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26349776, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 25051829, 25051829, 25051829, 25317976, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25304821, 25304821, 25304821, 25304821, 25304821, 25322687, 25322687, 25322687, 25322687, 26924093, 26695203, 26695203, 25897854, 25897854, 26542213, 26475376, 26475376, 26475376, 26475376, 26475376, 26475376, 26042517, 26042517, 26042517, 26042517, 25335007, 25335007, 25335007, 25335007, 25335007, 26551746, 26475376, 26475376, 26475376, 26475376, 26758918, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26235158, 25619925, 25619925, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 26621446, 26535544, 26535544, 26535544, 26535544, 26535544, 26535544, 26077588, 26077588, 25304821, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 27149860, 26615821, 26553020, 26553020, 26553020, 26553020]",0,0,0,CPU,14680064,0,14680064,0,14680064,14680064,1.0,hot,0,0,0,0,1.0,29360128
0,5,meta-llama/Llama-3.1-8B,9,310,604829891,13036882559,12432052668,16513951,43316769,41295786,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 3149245916, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26349776, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 100473463, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 151846792, 25322687, 25322687, 25322687, 26924093, 26695203, 26695203, 25897854, 25897854, 26542213, 26475376, 26475376, 26475376, 26475376, 26475376, 26475376, 26042517, 26042517, 26042517, 26042517, 25335007, 25335007, 25335007, 25335007, 25335007, 26551746, 26475376, 26475376, 26475376, 26475376, 26758918, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26235158, 25619925, 25619925, 254778484, 26535544, 26535544, 26535544, 26535544, 26535544, 26535544, 26077588, 26077588, 25304821, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 27149860, 26615821, 26553020, 26553020, 26553020, 26553020]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,8,meta-llama/Llama-3.1-8B,920,1193,903845068,15652368596,14748523528,4263619,175981861,53575520,"[146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 3149245916, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26349776, 25811664, 25811664, 25811664, 2875039763, 26695203, 26695203, 25897854, 25897854, 26542213, 26475376, 26475376, 26475376, 26475376, 26475376, 26475376, 26042517, 26042517, 26042517, 26042517, 153226781, 26475376, 26475376, 26475376, 26475376, 26758918, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26615821, 26235158, 25619925, 25619925, 254778484, 26535544, 26535544, 26535544, 26535544, 26535544, 26535544, 26077588, 26077588, 203517947, 26615821, 26553020, 26553020, 26553020, 26553020, 27316379, 26706189, 26706189, 26706189, 26706189, 26706189, 26706189, 26706189, 26706189, 26706189, 26706189, 26706189, 26645180, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 26518075, 27045295, 26444528, 26444528, 26444528, 26475376, 25897854, 25897854, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26621446, 26535544, 25969703, 25969703, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 26959972, 26645180, 26354138, 26354138, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 26316447, 26316447, 26316447, 26316447, 26742762, 26637795, 26637795, 26637795, 26637795, 26637795, 26637795, 26637795, 26637795, 26637795, 26637795, 26637795, 26406256, 26366686, 26366686, 26366686, 25667697, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25829685]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
