sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16081494016,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16366706688,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16387678208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16656113664,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,17008435200,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,17052475392,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17121681408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17165721600,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17167818752,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17172013056,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17174110208,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17176207360,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17109098496,17179869184,134217728,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,148897792,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17172013056,17179869184,134217728,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,148897792,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17140555776,17179869184,184549376,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17153138688,17179869184,184549376,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17165721600,17179869184,184549376,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17157332992,17179869184,184549376,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17169915904,17179869184,184549376,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17144750080,17179869184,184549376,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,14680064,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17178304512,17179869184,148897792,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,213909504,65011712,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17159430144,17179869184,134217728,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,230686720,96468992,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17169915904,17179869184,153092096,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,249561088,96468992,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17096515584,17179869184,232783872,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,348127232,115343360,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17178304512,17179869184,98566144,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,348127232,249561088,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17178304512,17179869184,109051904,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,419430400,310378496,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17178304512,17179869184,127926272,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,438304768,310378496,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17169915904,17179869184,161480704,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,501219328,339738624,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17178304512,17179869184,171966464,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,511705088,339738624,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17169915904,17179869184,39845888,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,511705088,471859200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17165721600,17179869184,69206016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,541065216,471859200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17178304512,17179869184,69206016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,541065216,471859200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17178304512,17179869184,94371840,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,566231040,471859200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17144750080,17179869184,134217728,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,471859200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17151041536,17179869184,134217728,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,471859200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17157332992,17179869184,134217728,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,471859200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17060864000,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,606076928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17098612736,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,606076928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17146847232,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,606076928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,606076928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,606076928,606076928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17178304512,17179869184,6291456,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,612368384,606076928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17151041536,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,656408576,656408576,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17123778560,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,656408576,656408576,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23500000000,0,17056669696,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,656408576,656408576,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
24000000000,0,17100709888,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,656408576,656408576,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
