instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,meta-llama/Llama-3.1-8B,27,55,587870262,1618421347,1030551085,4925957,33473580,36928796,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,27,1.0,0
0,14,meta-llama/Llama-3.1-8B,4,28,1601985365,2951140733,1349155368,16435982,43965212,56747398,"[285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,23,1.0,0
0,23,meta-llama/Llama-3.1-8B,21,134,2013730478,5951934463,3938203985,25537104,55284984,34668919,"[26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 428692659, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,112,1.0,0
0,3,meta-llama/Llama-3.1-8B,26,209,570907775,7040552938,6469645163,21888444,50436067,35270379,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 402171771, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 29741716, 26445624, 26445624, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 149888763, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,182,1.0,0
0,28,meta-llama/Llama-3.1-8B,20,153,2412644520,7149653946,4737009426,50753426,197690758,34388777,"[63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 428692659, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 485884651, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27275252, 27275252, 27275252, 27275252]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,132,1.0,0
0,18,meta-llama/Llama-3.1-8B,6,180,1789468368,7993736349,6204267981,142221521,192822130,34748241,"[30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 428692659, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 485884651, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27275252, 27275252, 27275252, 27275252, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27102483]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,173,1.0,0
0,6,meta-llama/Llama-3.1-8B,10,245,610813767,8525915316,7915101549,10530075,37332893,33665678,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 402171771, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 29741716, 26445624, 26445624, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 149888763, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27275252, 27275252, 27275252, 27275252, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 26637795, 26637795, 26637795, 25846330, 25846330, 25846330, 76535919, 27115155, 27115155, 27115155, 27115155, 27115155]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,234,1.0,0
0,2,meta-llama/Llama-3.1-8B,19,263,479613520,8552991391,8073377871,13088220,39885292,33059640,"[24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 402171771, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 29741716, 26445624, 26445624, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25051829, 25051829, 25051829, 74733276, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27275252, 27275252, 27275252, 27275252, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 26637795, 26637795, 26637795, 25846330, 25846330, 25846330, 76535919, 27115155, 27115155, 27115155, 27115155, 27115155, 27076075]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,243,1.0,0
0,19,meta-llama/Llama-3.1-8B,125,347,1823890667,9493606731,7669716064,107799222,158399831,33987856,"[30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 428692659, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 485884651, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27275252, 27275252, 27275252, 27275252, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 233988294, 27115155, 27115155, 27115155, 27115155, 27115155, 27076075, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,221,1.0,0
0,27,meta-llama/Llama-3.1-8B,14,230,2322894048,9600619767,7277725719,140503898,287441230,32512951,"[63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 428692659, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27571163, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 485884651, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27396992, 27275252, 27275252, 27275252, 27275252, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27232664, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 27102483, 233988294, 27115155, 27115155, 27115155, 27115155, 27115155, 27076075, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26874724, 26753259, 26753259, 26753259, 26753259]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,215,1.0,0
