sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16119242752,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16238780416,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16318472192,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16561741824,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16733708288,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16851148800,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17016823808,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,0,137438953472,18874368,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,18874368,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17178304512,17179869184,0,137438953472,56623104,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,56623104,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,0,137438953472,75497472,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,75497472,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17178304512,17179869184,0,137438953472,96468992,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,96468992,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17178304512,17179869184,0,137438953472,117440512,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,117440512,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,0,137438953472,138412032,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,138412032,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,0,137438953472,159383552,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,159383552,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17178304512,17179869184,0,137438953472,201326592,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,201326592,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17178304512,17179869184,0,137438953472,224395264,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,224395264,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17178304512,17179869184,0,137438953472,249561088,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,249561088,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,0,137438953472,274726912,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,274726912,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17178304512,17179869184,0,137438953472,299892736,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,299892736,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17178304512,17179869184,0,137438953472,325058560,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,325058560,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17178304512,17179869184,0,137438953472,375390208,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,375390208,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17178304512,17179869184,0,137438953472,400556032,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,400556032,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,0,137438953472,425721856,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,425721856,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17178304512,17179869184,0,137438953472,452984832,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,452984832,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17178304512,17179869184,0,137438953472,480247808,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,480247808,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17178304512,17179869184,0,137438953472,507510784,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,507510784,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17178304512,17179869184,0,137438953472,562036736,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17159430144,17179869184,0,137438953472,534773760,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,27262976,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17172013056,17179869184,0,137438953472,480247808,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,81788928,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17178304512,17179869184,0,137438953472,425721856,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,136314880,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17178304512,17179869184,0,137438953472,375390208,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,186646528,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17178304512,17179869184,0,137438953472,159383552,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,402653184,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17178304512,17179869184,0,137438953472,117440512,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,444596224,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17178304512,17179869184,0,137438953472,75497472,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,562036736,486539264,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17178304512,17179869184,0,137438953472,37748736,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,580911104,543162368,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17178304512,17179869184,0,137438953472,56623104,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,599785472,543162368,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17178304512,17179869184,0,137438953472,77594624,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,620756992,543162368,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17178304512,17179869184,0,137438953472,18874368,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,620756992,601882624,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17178304512,17179869184,0,137438953472,37748736,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,639631360,601882624,0,0,0,0,0,0,0,0.000000,0,0.000000
