sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16119242752,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
1000000000,0,16238780416,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
1500000000,0,16318472192,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
2000000000,0,16561741824,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
2500000000,0,16733708288,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
3000000000,0,16851148800,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
3500000000,0,17016823808,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,31457280,31457280,0,0,0,255,1,0,0,1.000000,0,0.004326
5000000000,0,17178304512,17179869184,0,137438953472,2097152,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,35651584,33554432,0,0,0,255,1,0,2097152,0.941176,0,0.011437
5500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,37748736,37748736,0,0,0,255,1,0,0,1.000000,0,0.018453
6000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,39845888,39845888,0,0,0,255,1,0,0,1.000000,0,0.025026
6500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,41943040,41943040,0,0,0,255,1,0,0,1.000000,0,0.031852
7000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,44040192,44040192,0,0,0,255,1,0,0,1.000000,0,0.038248
7500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,48234496,48234496,0,0,0,255,1,0,0,1.000000,0,0.044890
8000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,50331648,50331648,0,0,0,255,1,0,0,1.000000,0,0.051115
8500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,52428800,52428800,0,0,0,255,1,0,0,1.000000,0,0.057260
9000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,54525952,54525952,0,0,0,255,1,0,0,1.000000,0,0.063325
9500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,56623104,56623104,0,0,0,255,1,0,0,1.000000,0,0.069627
10000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,60817408,60817408,0,0,0,255,1,0,0,1.000000,0,0.075226
10500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,62914560,62914560,0,0,0,255,1,0,0,1.000000,0,0.081063
11000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,65011712,65011712,0,0,0,255,1,0,0,1.000000,0,0.086827
11500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,67108864,67108864,0,0,0,255,1,0,0,1.000000,0,0.092520
12000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,69206016,69206016,0,0,0,255,1,0,0,1.000000,0,0.098142
12500000000,0,17178304512,17179869184,0,137438953472,2097152,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,73400320,71303168,0,0,0,255,1,0,2097152,0.971429,0,0.103694
13000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,75497472,75497472,0,0,0,255,1,0,0,1.000000,0,0.108892
13500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,77594624,77594624,0,0,0,255,1,0,0,1.000000,0,0.114313
14000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,79691776,79691776,0,0,0,255,1,0,0,1.000000,0,0.119389
14500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,79691776,79691776,0,0,0,255,0,0,0,1.000000,0,0.119403
15000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,113246208,113246208,0,0,0,254,1,0,0,1.000000,0,0.115173
15500000000,0,17161527296,17179869184,0,137438953472,33554432,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,180355072,146800640,0,0,0,252,1,2,33554432,0.813953,0,0.109908
16000000000,0,17176207360,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,216006656,216006656,0,0,0,251,1,3,0,1.000000,0,0.106087
16500000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,253755392,253755392,0,0,0,250,1,4,0,1.000000,0,0.101687
17000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,293601280,293601280,0,0,0,249,1,5,0,1.000000,0,0.097596
