sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16081494016,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16366706688,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16387678208,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16656113664,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,17008435200,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,17052475392,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17121681408,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17148944384,17179869184,0,137438953472,58720256,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,58720256,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17178304512,17179869184,0,137438953472,58720256,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,58720256,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,16976977920,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17018920960,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17050378240,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17050378240,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17079738368,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17107001344,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17073446912,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17096515584,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17119584256,17179869184,0,137438953472,287309824,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,287309824,0,0,0,0,0,0,0,0,0.000000,0,0.000000
