sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16119242752,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16238780416,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16318472192,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16561741824,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16733708288,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16851148800,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17016823808,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,0,137438953472,18874368,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,18874368,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17172013056,17179869184,0,137438953472,56623104,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,56623104,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,0,137438953472,75497472,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,75497472,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17178304512,17179869184,0,137438953472,94371840,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,94371840,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17178304512,17179869184,0,137438953472,113246208,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,113246208,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,0,137438953472,132120576,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,132120576,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,0,137438953472,174063616,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,174063616,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17178304512,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,197132288,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17178304512,17179869184,0,137438953472,220200960,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,220200960,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17178304512,17179869184,0,137438953472,245366784,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,245366784,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,0,137438953472,270532608,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,270532608,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17178304512,17179869184,0,137438953472,295698432,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,295698432,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17178304512,17179869184,0,137438953472,346030080,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,346030080,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17178304512,17179869184,0,137438953472,371195904,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,371195904,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17178304512,17179869184,0,137438953472,396361728,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,396361728,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,0,137438953472,421527552,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,421527552,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17178304512,17179869184,0,137438953472,448790528,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,448790528,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17178304512,17179869184,0,137438953472,476053504,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,476053504,0,0,0,0,0,0,0,0,0.000000,0,0.000000
