sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16081494016,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16366706688,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16387678208,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16656113664,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,17008435200,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,17052475392,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17121681408,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17169915904,17179869184,0,137438953472,14680064,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,14680064,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17178304512,17179869184,0,137438953472,14680064,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,14680064,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17163624448,17179869184,0,137438953472,46137344,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,79691776,33554432,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17169915904,17179869184,0,137438953472,46137344,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,79691776,33554432,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17176207360,17179869184,0,137438953472,46137344,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,79691776,33554432,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,0,137438953472,46137344,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,79691776,33554432,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17176207360,17179869184,0,137438953472,65011712,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,119537664,54525952,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17165721600,17179869184,0,137438953472,98566144,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,178257920,79691776,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,16972783616,17179869184,0,137438953472,327155712,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,406847488,79691776,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17174110208,17179869184,0,137438953472,98566144,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,406847488,308281344,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,0,137438953472,111149056,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,419430400,308281344,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17060864000,17179869184,0,137438953472,249561088,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,557842432,308281344,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17167818752,17179869184,0,137438953472,111149056,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,557842432,446693376,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17178304512,17179869184,0,137438953472,127926272,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,574619648,446693376,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17178304512,17179869184,0,137438953472,146800640,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,593494016,446693376,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,0,137438953472,39845888,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,601882624,562036736,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17172013056,17179869184,0,137438953472,69206016,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,631242752,562036736,0,0,0,0,0,0,0,0.000000,0,0.000000
