instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,meta-llama/Llama-3.1-8B,27,55,587870262,1618421347,1030551085,4925957,33473580,36928796,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,14,meta-llama/Llama-3.1-8B,4,28,1601985365,2951140733,1349155368,16435982,43965212,56747398,"[285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,3,meta-llama/Llama-3.1-8B,26,209,570907775,6840897544,6269989769,21888444,50436067,34173371,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 327200619, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 102094597, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 27359830, 24842869, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 27497669, 25649622, 25914165, 25914165, 25914165, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 27560957, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,23,meta-llama/Llama-3.1-8B,21,134,2013730478,6840897544,4827167066,25537104,55284984,42606090,"[26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 353721507, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 102094597, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 181093435, 403364428, 408345628, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,2,meta-llama/Llama-3.1-8B,19,263,479613520,8281308904,7801695384,13088220,39885292,31941605,"[24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 327200619, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 24771925, 24771925, 24771925, 27778822, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 27359830, 24842869, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 27497669, 25649622, 25914165, 25914165, 25914165, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 27560957, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26790979, 27290869, 26790979, 26790979, 25820922, 25820922, 25820922, 25846330]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,18,meta-llama/Llama-3.1-8B,6,180,1789468368,8629486331,6840017963,142221521,192822130,38423097,"[30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 353721507, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 102094597, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 181093435, 403364428, 408345628, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26790979, 27290869, 26790979, 26790979, 130599965, 26790979, 26790979, 26790979, 160395054, 26706189, 26706189, 26706189]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,6,meta-llama/Llama-3.1-8B,10,245,610813767,8656692410,8045878643,10530075,37332893,34224554,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 327200619, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 102094597, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 27359830, 403364428, 25649622, 25914165, 25914165, 25914165, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 27560957, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26790979, 27290869, 26790979, 26790979, 25820922, 25820922, 25820922, 25846330, 27290869, 26790979, 26790979, 26790979, 26637795, 26637795, 26637795, 26637795, 26637795, 27206079, 26706189, 26706189, 26706189, 27206079]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,1,meta-llama/Llama-3.1-8B,9,342,347938951,10366959433,10019020482,19924492,46838713,30036692,"[24481019, 24481019, 24481019, 24481019, 26797072, 24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 24833243, 24833243, 24833243, 24833243, 24833243, 203034404, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 24771925, 24771925, 24771925, 27778822, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 27359830, 24842869, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 27497669, 25649622, 25914165, 25914165, 25914165, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 27560957, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26790979, 27290869, 26790979, 26790979, 25820922, 25820922, 25820922, 25846330, 27290869, 26790979, 26790979, 26790979, 26637795, 26637795, 26637795, 26637795, 26637795, 27206079, 26706189, 26706189, 26706189, 27206079, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 25846330, 25846330, 25846330, 25846330, 25846330, 25846330, 25921863, 25921863, 25921863, 25335007, 25335007, 25335007, 25335007, 25335007, 25335007, 26954498, 26454608, 26454608, 26454608, 26454608, 26454608, 26820478, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26928712, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,5,meta-llama/Llama-3.1-8B,9,310,604829891,10366959433,9762129542,16513951,43316769,32396042,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 327200619, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 102094597, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 25811664, 25811664, 25811664, 25432871, 25432871, 25432871, 27359830, 24842869, 378521559, 25649622, 25914165, 25914165, 25914165, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25442238, 25442238, 25442238, 25442238, 27560957, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26790979, 27290869, 26790979, 26790979, 25820922, 25820922, 25820922, 25846330, 27290869, 26790979, 26790979, 26790979, 26637795, 26637795, 26637795, 26637795, 26637795, 27206079, 26706189, 26706189, 26706189, 27206079, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 25846330, 25846330, 25846330, 25846330, 25846330, 25846330, 25921863, 25921863, 25921863, 25335007, 25335007, 25335007, 25335007, 25335007, 25335007, 26954498, 26454608, 26454608, 26454608, 26454608, 26454608, 26820478, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26928712, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,8,meta-llama/Llama-3.1-8B,920,1193,903845068,10448762659,9544917591,4263619,175981861,34444616,"[146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 327200619, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 27512576, 102094597, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 27278932, 26859940, 25811664, 25811664, 25811664, 103658443, 403364428, 25649622, 25914165, 25914165, 25914165, 304953511, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 27061067, 26956587, 26956587, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26790979, 27290869, 26790979, 26790979, 25820922, 25820922, 25820922, 25846330, 27290869, 26790979, 26790979, 26790979, 26637795, 26637795, 26637795, 26637795, 26637795, 27206079, 26706189, 26706189, 26706189, 27206079, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 26645180, 25846330, 25846330, 25846330, 25846330, 25846330, 25846330, 25921863, 25921863, 25921863, 178964540, 26454608, 26454608, 26454608, 26454608, 26454608, 26820478, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26409918, 26928712, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 26428822, 27229546, 27286840, 27286840]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
