sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,15350636544,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,15468077056,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,15541477376,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,15786844160,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,15954616320,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16046891008,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,16195788800,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,16376143872,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,16504070144,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,16636190720,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,16724271104,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,16984317952,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17116438528,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17179353088,17179869184,25165824,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,25165824,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17149992960,17179869184,60817408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17154187264,17179869184,60817408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17160478720,17179869184,60817408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17162575872,17179869184,60817408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17168867328,17179869184,60817408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17175158784,17179869184,60817408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17179353088,17179869184,60817408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17164673024,17179869184,81788928,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,81788928,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17170964480,17179869184,81788928,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,81788928,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17177255936,17179869184,81788928,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,81788928,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17179353088,17179869184,81788928,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,81788928,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17179353088,17179869184,81788928,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,81788928,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17152090112,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,115343360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17158381568,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,115343360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17164673024,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,115343360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17170964480,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,115343360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17177255936,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,115343360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17177255936,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,115343360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17179353088,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,115343360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17160478720,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,140509184,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17166770176,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,140509184,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17173061632,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,140509184,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17173061632,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,140509184,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17179353088,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,140509184,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17156284416,17179869184,169869312,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,169869312,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17175158784,17179869184,100663296,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,169869312,69206016,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17179353088,17179869184,123731968,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,192937984,69206016,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17145798656,17179869184,163577856,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,232783872,69206016,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17145798656,17179869184,163577856,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,232783872,69206016,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17179353088,17179869184,69206016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,232783872,163577856,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17179353088,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,232783872,211812352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23500000000,0,17162575872,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,268435456,211812352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
24000000000,0,17179353088,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,268435456,211812352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
24500000000,0,17173061632,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,289406976,211812352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
25000000000,0,17179353088,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,289406976,211812352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
25500000000,0,17173061632,17179869184,111149056,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,211812352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
