sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,15314984960,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,15522603008,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,15677792256,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,15744901120,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16210468864,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16254509056,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,16566984704,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,16879460352,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17137410048,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17179353088,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,10485760,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17179353088,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17179353088,17179869184,48234496,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,58720256,10485760,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17173061632,17179869184,65011712,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75497472,10485760,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17179353088,17179869184,65011712,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75497472,10485760,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17179353088,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,83886080,10485760,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17179353088,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,88080384,10485760,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17179353088,17179869184,106954752,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,134217728,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17179353088,17179869184,106954752,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,134217728,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17149992960,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17152090112,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17154187264,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17156284416,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17158381568,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17160478720,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17160478720,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17162575872,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17164673024,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17166770176,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17168867328,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17168867328,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17170964480,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,27262976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
