instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,microsoft/Phi-mini-MoE-instruct,28,57,587870262,1757652334,1169782072,10563049,47119222,40095101,"[35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,14,microsoft/Phi-mini-MoE-instruct,4,30,1601985365,2868932415,1266947050,37387935,77095163,47594075,"[39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,33,microsoft/Phi-mini-MoE-instruct,17,25,2833725503,3224570594,390845091,35206912,79606998,44462584,"[44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,40,microsoft/Phi-mini-MoE-instruct,536,538,3568927593,3782481488,213553895,67650359,162069642,51484253,[51484253],0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,3,microsoft/Phi-mini-MoE-instruct,26,244,570907775,11699051015,11128143240,27525536,64081709,50986458,"[35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 1884465037, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 683393418, 33403217, 33403217, 33403217, 33403217, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 33759843, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33759843, 33712071, 33712071, 33712071, 33712071, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,2,microsoft/Phi-mini-MoE-instruct,20,325,479613520,13939084406,13459470886,19145763,54256235,44096100,"[32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 1884465037, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33453746, 33453746, 33453746, 33482453, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 33441457, 33403217, 33403217, 33403217, 33403217, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 33759843, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33759843, 33712071, 33712071, 33712071, 33712071, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 37647096, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33712071, 33712071, 33712071, 33712071, 35217900, 35170128, 35170128, 35170128, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 35217900, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,0,microsoft/Phi-mini-MoE-instruct,94,537,46926808,16324106941,16277180133,0,34964807,36747093,"[31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 34692238, 31606514, 31606514, 31606514, 35110472, 32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 34312688, 32885593, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32885593, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32885593, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33508074, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33453746, 33453746, 33453746, 33482453, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 33441457, 33403217, 33403217, 33403217, 33403217, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 33759843, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33759843, 33712071, 33712071, 33712071, 33712071, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 37647096, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33712071, 33712071, 33712071, 33712071, 35217900, 35170128, 35170128, 35170128, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 35217900, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 37101839, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 37006514, 36744511, 36744511, 36744511, 36744511, 34296017, 34296017, 34296017, 34296017, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,1,microsoft/Phi-mini-MoE-instruct,9,448,347938951,16586542242,16238603291,21308552,56000790,36946581,"[31606514, 31606514, 31606514, 35110472, 32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 67198281, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32885593, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32885593, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33508074, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33453746, 33453746, 33453746, 33482453, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 34407218, 33441457, 33403217, 33403217, 33403217, 33403217, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33731761, 33693521, 33693521, 33693521, 33693521, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 33759843, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33759843, 33712071, 33712071, 33712071, 33712071, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 37647096, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33712071, 33712071, 33712071, 33712071, 35217900, 35170128, 35170128, 35170128, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 35217900, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 37101839, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 37006514, 36744511, 36744511, 36744511, 36744511, 34296017, 34296017, 34296017, 34296017, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 40897080, 36958742, 36958742, 36958742, 36958742, 36958742, 36744511]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,6,microsoft/Phi-mini-MoE-instruct,11,289,610813767,18887958951,18277145184,24175717,59835931,65766459,"[33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 6988627847, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33712071, 33712071, 33712071, 33712071, 35217900, 35170128, 35170128, 35170128, 446770104, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 37101839, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 37006514, 36744511, 36744511, 36744511, 36744511, 34296017, 34296017, 34296017, 34296017, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 40897080, 36958742, 36958742, 36958742, 36958742, 36958742, 36744511, 46234205, 46033913, 36870079, 36870079, 36409937, 36409937, 36409937, 36409937, 36409937, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 33927769, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 35262677, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35262677, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 36619825]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,5,microsoft/Phi-mini-MoE-instruct,11,374,604829891,19678882079,19074052188,30159593,65819807,52508929,"[33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 1884465037, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 3384560620, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33712071, 33759843, 33712071, 33712071, 33712071, 33712071, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 37647096, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33712071, 33712071, 33712071, 33712071, 35217900, 35170128, 35170128, 35170128, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 34296017, 35217900, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 35170128, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33875271, 33923043, 33875271, 33875271, 33875271, 33875271, 37101839, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 36958742, 37006514, 36744511, 36744511, 36744511, 36744511, 34296017, 34296017, 34296017, 34296017, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34450001, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34581219, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 34533447, 40897080, 36958742, 36958742, 36958742, 36958742, 36958742, 36744511, 46234205, 46033913, 36870079, 36870079, 36409937, 36409937, 36409937, 36409937, 36409937, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 33927769, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 35262677, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35262677, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 35233970, 36619825, 47035305, 37829755, 37036057, 36870079, 36870079, 38394065, 38394065, 38394065, 38394065, 38394065, 38394065, 38394065, 38394065, 38394065, 38394065, 35239513, 35220338, 35220338, 35220338, 35220338, 35220338]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
