instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,microsoft/Phi-mini-MoE-instruct,28,57,587870262,1757652334,1169782072,10563049,47119222,40095101,"[35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,28,1.0,0
0,14,microsoft/Phi-mini-MoE-instruct,4,30,1601985365,2868932415,1266947050,37387935,77095163,47594075,"[39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,25,1.0,0
0,33,microsoft/Phi-mini-MoE-instruct,17,25,2833725503,3224570594,390845091,35206912,79606998,44462584,"[44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,7,1.0,0
0,40,microsoft/Phi-mini-MoE-instruct,536,538,3568927593,3782481488,213553895,67650359,162069642,51484253,[51484253],0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,1,1.0,0
0,57,microsoft/Phi-mini-MoE-instruct,1,10,5611080198,6082054653,470974455,13646832,65001423,50746629,"[50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,8,1.0,0
0,48,microsoft/Phi-mini-MoE-instruct,16,64,4209283457,7955457307,3746173850,20362234,68930719,78239215,"[129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 476079343, 49686994, 50136152, 49914408, 51456013, 49845964, 49845964, 49845964, 49845964, 51354591, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 48197030, 859185470, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,47,1.0,0
0,41,microsoft/Phi-mini-MoE-instruct,175,238,3637282315,8256309799,4619027484,93714920,145199173,72158521,"[46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 476079343, 49686994, 50136152, 49914408, 51456013, 49845964, 49845964, 49845964, 49845964, 51354591, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 48197030, 859185470, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50142082, 50142082, 50142082, 50142082, 50142082, 50142082]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,62,1.0,0
0,37,microsoft/Phi-mini-MoE-instruct,146,240,3382628210,10213753213,6831125003,21085118,90719799,72477475,"[45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 476079343, 49686994, 50136152, 49914408, 51456013, 49845964, 49845964, 49845964, 49845964, 51354591, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 48197030, 859185470, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50142082, 50142082, 50142082, 50142082, 50142082, 50142082, 49845964, 49845964, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 661669534, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,93,1.0,0
0,53,microsoft/Phi-mini-MoE-instruct,9,87,5233952206,10662581989,5428629783,39884395,90020547,69332587,"[49914408, 51456013, 49845964, 49845964, 49845964, 49845964, 51354591, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 907382500, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50142082, 50142082, 50142082, 50142082, 50142082, 50142082, 49845964, 49845964, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 661669534, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,77,1.0,0
0,22,microsoft/Phi-mini-MoE-instruct,25,160,1968102757,10810063291,8841960534,34550228,75667196,65420099,"[58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 476079343, 49686994, 50136152, 49914408, 51456013, 49845964, 49845964, 49845964, 49845964, 51354591, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50746629, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 48197030, 859185470, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50843166, 50142082, 50142082, 50142082, 50142082, 50142082, 50142082, 49845964, 49845964, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 661669534, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49836748, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864, 49869864, 49160434, 49160434, 49160434]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,134,1.0,0
