instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,microsoft/Phi-mini-MoE-instruct,28,57,587870262,1757652334,1169782072,10563049,47119222,40095101,"[35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,14,microsoft/Phi-mini-MoE-instruct,4,30,1601985365,2868932415,1266947050,37387935,77095163,47594075,"[39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,33,microsoft/Phi-mini-MoE-instruct,17,25,2833725503,3224570594,390845091,35206912,79606998,44462584,"[44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,40,microsoft/Phi-mini-MoE-instruct,536,538,3568927593,3782481488,213553895,67650359,162069642,51484253,[51484253],0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,0,microsoft/Phi-mini-MoE-instruct,94,537,46926808,17718689439,17671762631,0,34964807,39902257,"[31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 34692238, 31606514, 31606514, 31606514, 35110472, 32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 34312688, 42612426, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 33453746, 33453746, 33453746, 37669072, 36745369, 36745369, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 51977511, 44712352, 44712352, 44712352, 44278048, 44278048, 38629901, 38629901, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 65881984, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 45891356, 37036057, 37036057, 37036057, 37036057, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 45661968, 39844910, 39844910, 39844910, 39844910, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 38639123, 38639123, 38639123, 36106340, 36106340, 36106340, 36106340, 36106340, 37639463, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984]",0,0,0,ETHERNET,0,27262976,0,27262976,27262976,27262976,1.0,hot,0,0,0,0,1.0,54525952
0,3,microsoft/Phi-mini-MoE-instruct,26,244,570907775,18510683202,17939775427,27525536,64081709,82376468,"[35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 306990040, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 138030310, 36745369, 36745369, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 51977511, 44712352, 44712352, 44712352, 44278048, 44278048, 38629901, 38629901, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 65881984, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 45891356, 37036057, 37036057, 37036057, 37036057, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 45661968, 39844910, 39844910, 39844910, 39844910, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 38639123, 38639123, 38639123, 36106340, 36106340, 36106340, 36106340, 36106340, 8261541795, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 40014575, 38416397, 38416397, 38639123]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,1,microsoft/Phi-mini-MoE-instruct,9,448,347938951,25959133258,25611194307,21308552,56000790,58345190,"[31606514, 31606514, 31606514, 35110472, 32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 76925114, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 33453746, 33453746, 33453746, 37669072, 36745369, 36745369, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 51977511, 44712352, 44712352, 44712352, 44278048, 44278048, 38629901, 38629901, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 65881984, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 45891356, 37036057, 37036057, 37036057, 37036057, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 45661968, 39844910, 39844910, 39844910, 39844910, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 38639123, 38639123, 38639123, 36106340, 36106340, 36106340, 36106340, 36106340, 8261541795, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 40014575, 38416397, 38416397, 38639123, 41051276, 39428522, 39428522, 39428522, 39428522, 39428522, 39428522, 36758372, 36758372, 36758372, 36758372, 36758372, 37158780, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848]",0,0,0,ETHERNET,0,29360128,0,29360128,29360128,29360128,1.0,hot,0,0,0,0,1.0,58720256
0,22,microsoft/Phi-mini-MoE-instruct,25,160,1968102757,26345281530,24377178773,34550228,75667196,181354564,"[58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 1544401459, 44712352, 44712352, 44712352, 44278048, 44278048, 415468058, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 45891356, 439319597, 39844910, 39844910, 39844910, 39844910, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 8557990864, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 196537768, 39428522, 39428522, 39428522, 39428522, 39428522, 39428522, 7212003958, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,6,microsoft/Phi-mini-MoE-instruct,11,289,610813767,28461989335,27851175568,24175717,59835931,100329745,"[33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 404726701, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 138030310, 36745369, 36745369, 487209282, 44712352, 44712352, 44712352, 44278048, 44278048, 38629901, 38629901, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 65881984, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 45891356, 37036057, 37036057, 37036057, 37036057, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 45661968, 39844910, 39844910, 39844910, 39844910, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 38639123, 38639123, 38639123, 36106340, 36106340, 36106340, 36106340, 36106340, 8261541795, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 40014575, 38416397, 38416397, 38639123, 41051276, 39428522, 39428522, 39428522, 39428522, 39428522, 39428522, 36758372, 36758372, 36758372, 36758372, 36758372, 7028212098, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38929046, 38929046, 38929046, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 44408217, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 39625495]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,2,microsoft/Phi-mini-MoE-instruct,20,325,479613520,28619390862,28139777342,19145763,54256235,92386582,"[32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 306990040, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 36745369, 33453746, 33453746, 33453746, 37669072, 36745369, 36745369, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 33479367, 51977511, 44712352, 44712352, 44712352, 44278048, 44278048, 38629901, 38629901, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 34040784, 65881984, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 46033913, 45891356, 37036057, 37036057, 37036057, 37036057, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 35073343, 45661968, 39844910, 39844910, 39844910, 39844910, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 39629102, 38639123, 38639123, 38639123, 36106340, 36106340, 36106340, 36106340, 36106340, 8261541795, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 39625669, 40014575, 38416397, 38416397, 38639123, 41051276, 39428522, 39428522, 39428522, 39428522, 39428522, 39428522, 36758372, 36758372, 36758372, 36758372, 36758372, 7028212098, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38330218, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38929046, 38929046, 38929046, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 37967952, 44408217, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 38416397, 39625495, 41112023, 38615456, 38837024, 38837024]",0,0,0,ETHERNET,0,33554432,0,33554432,33554432,33554432,1.0,hot,0,0,0,0,1.0,67108864
