sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,15314984960,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
1000000000,0,15522603008,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
1500000000,0,15677792256,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
2000000000,0,15744901120,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,299,0,0,0,0.000000,0,0.000000
2500000000,0,16210468864,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,299,0,0,0,0.000000,0,0.000000
3000000000,0,16254509056,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,298,0,0,0,0.000000,0,0.000000
3500000000,0,16566984704,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,297,0,0,0,0.000000,0,0.000000
4000000000,0,16879460352,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,296,0,0,0,0.000000,0,0.000000
4500000000,0,17137410048,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,296,0,0,0,0.000000,0,0.000000
5000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,296,0,0,0,0.000000,0,0.000000
5500000000,0,17051426816,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,195035136,195035136,0,0,0,295,1,0,0,1.000000,0,0.003062
6000000000,0,17139507200,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,195035136,195035136,0,0,0,295,0,1,0,1.000000,0,0.005086
6500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,195035136,195035136,0,0,0,294,0,1,0,1.000000,0,0.004458
7000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,201326592,201326592,0,0,0,293,1,1,0,1.000000,0,0.004397
7500000000,0,17059815424,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,292,2,1,0,1.000000,0,0.007049
8000000000,0,17126924288,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,291,0,3,0,1.000000,0,0.010669
8500000000,0,17149992960,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,290,0,3,0,1.000000,0,0.009577
9000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,290,0,3,0,1.000000,0,0.009001
9500000000,0,17036746752,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,566231040,566231040,0,0,0,289,1,3,0,1.000000,0,0.009144
10000000000,0,17093369856,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,566231040,566231040,0,0,0,289,1,3,0,1.000000,0,0.010037
10500000000,0,17131118592,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,566231040,566231040,0,0,0,288,0,4,0,1.000000,0,0.009877
11000000000,0,17149992960,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,566231040,566231040,0,0,0,285,0,4,0,1.000000,0,0.009193
11500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,566231040,566231040,0,0,0,285,0,4,0,1.000000,0,0.008736
12000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,744488960,744488960,0,0,0,284,1,4,0,1.000000,0,0.008925
12500000000,0,17145798656,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,893386752,893386752,0,0,0,283,2,4,0,1.000000,0,0.009472
13000000000,0,17154187264,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,893386752,893386752,0,0,0,281,1,5,0,1.000000,0,0.011297
13500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,893386752,893386752,0,0,0,281,0,6,0,1.000000,0,0.011325
14000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,937426944,937426944,0,0,0,280,1,6,0,1.000000,0,0.011509
14500000000,0,17059815424,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1105199104,1105199104,0,0,0,279,2,6,0,1.000000,0,0.011508
15000000000,0,17040941056,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1105199104,1105199104,0,0,0,277,1,7,0,1.000000,0,0.012842
15500000000,0,17126924288,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1251999744,1251999744,0,0,0,275,1,8,0,1.000000,0,0.013145
16000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1251999744,1251999744,0,0,0,275,1,8,0,1.000000,0,0.013383
16500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1285554176,1285554176,0,0,0,273,1,9,0,1.000000,0,0.013785
17000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1444937728,1444937728,0,0,0,272,2,9,0,1.000000,0,0.013869
17500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1444937728,1444937728,0,0,0,272,2,9,0,1.000000,0,0.014753
18000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1547698176,1547698176,0,0,0,271,2,10,0,1.000000,0,0.015054
18500000000,0,17168867328,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1566572544,1566572544,0,0,0,268,3,9,0,1.000000,0,0.015049
