sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,15314984960,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,15522603008,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,15677792256,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,15744901120,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16210468864,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16254509056,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,16566984704,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,16879460352,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17137410048,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17030455296,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,197132288,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17093369856,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,197132288,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17160478720,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,197132288,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17179353088,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,197132288,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17034649600,17179869184,0,137438953472,383778816,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17084981248,17179869184,0,137438953472,383778816,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17133215744,17179869184,0,137438953472,383778816,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17179353088,17179869184,0,137438953472,383778816,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17005289472,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17015775232,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17072398336,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17070301184,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17116438528,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17154187264,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17152090112,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17179353088,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,564133888,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17015775232,17179869184,0,137438953472,750780416,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,750780416,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17034649600,17179869184,0,137438953472,750780416,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,750780416,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17179353088,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,750780416,186646528,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17162575872,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,937426944,373293056,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17179353088,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,937426944,373293056,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17005289472,17179869184,0,137438953472,752877568,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,373293056,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17026260992,17179869184,0,137438953472,752877568,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,373293056,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17032552448,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,562036736,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17070301184,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,562036736,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17057718272,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,562036736,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17089175552,17179869184,0,137438953472,564133888,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,562036736,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17154187264,17179869184,0,137438953472,377487360,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,748683264,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17131118592,17179869184,0,137438953472,377487360,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,748683264,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17129021440,17179869184,0,137438953472,377487360,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,748683264,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17093369856,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,929038336,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17087078400,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,929038336,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17124827136,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,929038336,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17103855616,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,929038336,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17022066688,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,929038336,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17003192320,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,929038336,0,0,0,0,0,0,0,0.000000,0,0.000000
23500000000,0,17036746752,17179869184,0,137438953472,197132288,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,929038336,0,0,0,0,0,0,0,0.000000,0,0.000000
24000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1126170624,1126170624,0,0,0,0,0,0,0,0.000000,0,0.000000
24500000000,0,17175158784,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1327497216,1327497216,0,0,0,0,0,0,0,0.000000,0,0.000000
25000000000,0,17152090112,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1528823808,1528823808,0,0,0,0,0,0,0,0.000000,0,0.000000
25500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1528823808,1528823808,0,0,0,0,0,0,0,0.000000,0,0.000000
26000000000,0,16986415104,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1732247552,1528823808,0,0,0,0,0,0,0,0.000000,0,0.000000
26500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1732247552,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
27000000000,0,17133215744,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1732247552,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
27500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1732247552,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
28000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1732247552,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
28500000000,0,16982220800,17179869184,0,137438953472,205520896,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
29000000000,0,16990609408,17179869184,0,137438953472,205520896,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
29500000000,0,16998998016,17179869184,0,137438953472,205520896,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
30000000000,0,16998998016,17179869184,0,137438953472,205520896,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
30500000000,0,17007386624,17179869184,0,137438953472,205520896,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
31000000000,0,17015775232,17179869184,0,137438953472,205520896,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
31500000000,0,17024163840,17179869184,0,137438953472,205520896,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1732247552,0,0,0,0,0,0,0,0.000000,0,0.000000
32000000000,0,17164673024,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1937768448,0,0,0,0,0,0,0,0.000000,0,0.000000
32500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1937768448,1937768448,0,0,0,0,0,0,0,0.000000,0,0.000000
33000000000,0,16978026496,17179869184,0,137438953472,207618048,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2145386496,1937768448,0,0,0,0,0,0,0,0.000000,0,0.000000
33500000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2145386496,2145386496,0,0,0,0,0,0,0,0.000000,0,0.000000
34000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2145386496,2145386496,0,0,0,0,0,0,0,0.000000,0,0.000000
34500000000,0,16971735040,17179869184,0,137438953472,209715200,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2355101696,2145386496,0,0,0,0,0,0,0,0.000000,0,0.000000
35000000000,0,17179353088,17179869184,0,137438953472,0,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2355101696,2355101696,0,0,0,0,0,0,0,0.000000,0,0.000000
35500000000,0,16986415104,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2770337792,2566914048,0,0,0,0,0,0,0,0.000000,0,0.000000
36000000000,0,16990609408,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2770337792,2566914048,0,0,0,0,0,0,0,0.000000,0,0.000000
36500000000,0,17005289472,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2770337792,2566914048,0,0,0,0,0,0,0,0.000000,0,0.000000
37000000000,0,17015775232,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2770337792,2566914048,0,0,0,0,0,0,0,0.000000,0,0.000000
37500000000,0,16988512256,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2770337792,2566914048,0,0,0,0,0,0,0,0.000000,0,0.000000
38000000000,0,17001095168,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2770337792,2566914048,0,0,0,0,0,0,0,0.000000,0,0.000000
38500000000,0,17005289472,17179869184,0,137438953472,203423744,4398046511104,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2770337792,2566914048,0,0,0,0,0,0,0,0.000000,0,0.000000
