sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,15314984960,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
1000000000,0,15522603008,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
1500000000,0,15677792256,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,300,0,0,0,0.000000,0,0.000000
2000000000,0,15744901120,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,299,0,0,0,0.000000,0,0.000000
2500000000,0,16210468864,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,299,0,0,0,0.000000,0,0.000000
3000000000,0,16254509056,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,298,0,0,0,0.000000,0,0.000000
3500000000,0,16566984704,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,297,0,0,0,0.000000,0,0.000000
4000000000,0,16879460352,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,296,0,0,0,0.000000,0,0.000000
4500000000,0,17137410048,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,296,0,0,0,0.000000,0,0.000000
5000000000,0,17179353088,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,296,0,0,0,0.000000,0,0.000000
5500000000,0,17051426816,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,195035136,195035136,0,0,0,295,1,0,0,1.000000,0,0.003064
6000000000,0,17139507200,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,195035136,195035136,0,0,0,295,0,1,0,1.000000,0,0.005094
6500000000,0,17179353088,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,195035136,195035136,0,0,0,294,0,1,0,1.000000,0,0.004446
7000000000,0,17179353088,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,201326592,201326592,0,0,0,293,1,1,0,1.000000,0,0.004391
7500000000,0,17068204032,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,292,2,1,0,1.000000,0,0.007450
8000000000,0,17133215744,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,291,0,3,0,1.000000,0,0.010542
8500000000,0,17156284416,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,290,0,3,0,1.000000,0,0.009477
9000000000,0,17179353088,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,383778816,383778816,0,0,0,290,0,3,0,1.000000,0,0.008987
9500000000,0,17045135360,17179869184,0,137438953472,72811440,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,566231040,493419600,0,0,0,289,1,3,72811440,0.871410,0,0.009332
10000000000,0,17064009728,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,566231040,566231040,0,0,0,288,1,3,0,1.000000,0,0.010194
