sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16119242752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16238780416,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16318472192,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16561741824,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16733708288,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16851148800,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17016823808,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,17148944384,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
5000000000,0,17153138688,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
5500000000,0,17155235840,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
6000000000,0,17157332992,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
6500000000,0,17159430144,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
7000000000,0,17161527296,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
7500000000,0,17165721600,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
8000000000,0,17167818752,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
8500000000,0,17169915904,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
9000000000,0,17172013056,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
9500000000,0,17176207360,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
10000000000,0,17178304512,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,33554432,0,0,0,0,0
10500000000,0,17148944384,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
11000000000,0,17151041536,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
11500000000,0,17153138688,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
12000000000,0,17155235840,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
12500000000,0,17159430144,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
13000000000,0,17161527296,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
13500000000,0,17163624448,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
14000000000,0,17165721600,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,98566144,0,0,0,0,0
14500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,161480704,0,0,0,0,0
15000000000,0,17148944384,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
15500000000,0,17153138688,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
16000000000,0,17155235840,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
16500000000,0,17157332992,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
17000000000,0,17159430144,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
17500000000,0,17163624448,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
18000000000,0,17165721600,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
18500000000,0,17167818752,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
19000000000,0,17169915904,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
19500000000,0,17172013056,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
20000000000,0,17176207360,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
20500000000,0,17178304512,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,195035136,0,0,0,0,0
21000000000,0,17148944384,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
21500000000,0,17151041536,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
22000000000,0,17153138688,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
22500000000,0,17155235840,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
23000000000,0,17159430144,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
23500000000,0,17161527296,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
24000000000,0,17163624448,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
24500000000,0,17165721600,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,260046848,0,0,0,0,0
25000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,322961408,322961408,0,0,0,0,0
25500000000,0,17151041536,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
26000000000,0,17153138688,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
26500000000,0,17155235840,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
27000000000,0,17157332992,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
27500000000,0,17159430144,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
28000000000,0,17163624448,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
28500000000,0,17165721600,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
29000000000,0,17167818752,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
29500000000,0,17169915904,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
30000000000,0,17174110208,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
30500000000,0,17176207360,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
31000000000,0,17178304512,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,356515840,0,0,0,0,0
31500000000,0,17148944384,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
32000000000,0,17151041536,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
32500000000,0,17153138688,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
33000000000,0,17157332992,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
33500000000,0,17159430144,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
34000000000,0,17161527296,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
34500000000,0,17163624448,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
35000000000,0,17165721600,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,421527552,0,0,0,0,0
35500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,484442112,484442112,0,0,0,0,0
36000000000,0,17151041536,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
36500000000,0,17153138688,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
37000000000,0,17155235840,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
37500000000,0,17157332992,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
38000000000,0,17161527296,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
38500000000,0,17163624448,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
39000000000,0,17165721600,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
39500000000,0,17167818752,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
40000000000,0,17169915904,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
40500000000,0,17174110208,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
41000000000,0,17176207360,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
41500000000,0,17178304512,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,549453824,517996544,0,0,0,0,0
42000000000,0,17148944384,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,645922816,583008256,0,0,0,0,0
42500000000,0,17151041536,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,645922816,583008256,0,0,0,0,0
43000000000,0,17155235840,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,645922816,583008256,0,0,0,0,0
43500000000,0,17157332992,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,645922816,583008256,0,0,0,0,0
44000000000,0,17159430144,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,645922816,583008256,0,0,0,0,0
44500000000,0,17161527296,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,645922816,583008256,0,0,0,0,0
45000000000,0,17163624448,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,645922816,583008256,0,0,0,0,0
