instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,tier_transition_bytes_total
0,4,meta-llama/Llama-3.1-8B,27,55,587870262,1618421347,1030551085,4925957,33473580,36928796,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,14,meta-llama/Llama-3.1-8B,4,28,1601985365,2951140733,1349155368,16435982,43965212,56747398,"[285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,0,meta-llama/Llama-3.1-8B,85,501,46926808,11749064258,11702137450,0,29098963,28127803,"[24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 26914221, 24481019, 24481019, 24481019, 24481019, 26797072, 24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 24833243, 24833243, 24833243, 24833243, 24833243, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 26747689, 26699917, 26699917, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 24771925, 24771925, 24771925, 24848295, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25099601, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25117538, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25567390, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26179021, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26007326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,1,meta-llama/Llama-3.1-8B,9,342,347938951,13108256014,12760317063,19924492,46838713,38293609,"[24481019, 24481019, 24481019, 24481019, 26797072, 24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 24833243, 24833243, 24833243, 24833243, 24833243, 201769627, 26699917, 26699917, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 24771925, 24771925, 24771925, 24848295, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25099601, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25117538, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 3087945630, 25712916, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25460818, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211]",0,0,0,CPU,77594624,0,77594624,0,77594624,77594624,1.0,155189248
0,2,meta-llama/Llama-3.1-8B,19,263,479613520,13945054219,13465440699,13088220,39885292,55249199,"[24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325935842, 26699917, 26699917, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 24771925, 24771925, 24771925, 24848295, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 24771925, 425300737, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 5503538853, 25712916, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25460818, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25012571, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 25177211, 27460159, 27278932, 27278932, 26363542, 26363542, 24842869, 24917685, 24917685, 24917685, 24917685, 25384653, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782]",0,0,0,CPU,54525952,0,54525952,0,54525952,54525952,1.0,109051904
0,3,meta-llama/Llama-3.1-8B,26,209,570907775,15345416730,14774508955,21888444,50436067,80901499,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325935842, 26699917, 26699917, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 7171710770, 25712916, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 25051829, 983160664, 27278932, 27278932, 26363542, 26363542, 24842869, 24917685, 24917685, 24917685, 24917685, 604867684, 27232760, 27232760, 27232760, 27232760, 27232760, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 26692937, 26425808, 26425808, 26425808, 26425808, 26425808, 26425808, 26044318, 25739482, 25739482, 25116479, 25116479, 25116479, 25116479, 24771925, 24833243, 26016144, 25739482, 25739482, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25263093, 25263093, 25263093, 25263093, 25263093, 25176632]",0,0,0,CPU,132120576,0,132120576,0,132120576,132120576,1.0,264241152
0,5,meta-llama/Llama-3.1-8B,9,310,604829891,19098225233,18493395342,16513951,43316769,61500261,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325935842, 26699917, 26699917, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 7171710770, 25712916, 1333886270, 27278932, 27278932, 26363542, 26363542, 24842869, 24917685, 24917685, 24917685, 24917685, 604867684, 27232760, 27232760, 27232760, 27232760, 27232760, 420623145, 26425808, 26425808, 26425808, 26425808, 26425808, 26425808, 26044318, 25739482, 25739482, 25116479, 25116479, 25116479, 25116479, 24771925, 24833243, 26016144, 25739482, 25739482, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25263093, 25263093, 25263093, 25263093, 25263093, 25176632, 26383361, 26287926, 26287926, 26287926, 26287926, 26287926, 26421342, 26437374, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 24725605, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 24620638, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782, 25350782]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,6,meta-llama/Llama-3.1-8B,10,245,610813767,20900415098,20289601331,10530075,37332893,86548155,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325935842, 26699917, 26699917, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 7171710770, 25712916, 1333886270, 27278932, 27278932, 26363542, 26363542, 24842869, 24917685, 24917685, 24917685, 24917685, 604867684, 27232760, 27232760, 27232760, 27232760, 27232760, 420623145, 26425808, 26425808, 26425808, 26425808, 26425808, 26425808, 26044318, 25739482, 25739482, 25116479, 25116479, 25116479, 25116479, 24771925, 50849387, 25739482, 25739482, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25263093, 25263093, 25263093, 25263093, 25263093, 51559993, 26287926, 26287926, 26287926, 26287926, 26287926, 26421342, 26437374, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 3389305200, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 26502929, 26445624, 26445624, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 26752166, 26437374, 26437374, 26437374, 26437374, 26437374, 25916533, 25916533, 25916533, 25916533, 25916533, 25916533, 25954302, 25954302, 25954302, 25954302, 26187076, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203]",0,0,0,CPU,100663296,0,100663296,0,100663296,100663296,1.0,201326592
0,7,meta-llama/Llama-3.1-8B,253,668,811936853,26230239580,25418302727,11575200,70817445,61225809,"[25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325935842, 26699917, 26699917, 7422455806, 25712916, 1333886270, 27278932, 27278932, 26363542, 26363542, 24842869, 24917685, 24917685, 24917685, 24917685, 604867684, 27232760, 27232760, 27232760, 27232760, 27232760, 420623145, 26425808, 26425808, 26425808, 26425808, 26425808, 26425808, 26044318, 25739482, 25739482, 25116479, 25116479, 25116479, 25116479, 75621312, 25739482, 25739482, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25263093, 25263093, 25263093, 25263093, 25263093, 51559993, 26287926, 26287926, 26287926, 26287926, 26287926, 26421342, 26437374, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 3389305200, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 26502929, 26445624, 26445624, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 26752166, 26437374, 26437374, 26437374, 26437374, 26437374, 25916533, 25916533, 25916533, 25916533, 25916533, 25916533, 25954302, 25954302, 25954302, 25954302, 26187076, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 25262203, 26783281, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26077588, 26077588, 26077588, 26077588, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27036244, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26359326, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26581534, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 26971646, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454, 27327454]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,8,meta-llama/Llama-3.1-8B,920,1193,903845068,27857103193,26953258125,4263619,175981861,98445868,"[146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325935842, 26699917, 26699917, 7422455806, 25712916, 1333886270, 27278932, 27278932, 26363542, 26363542, 729381293, 27232760, 27232760, 27232760, 27232760, 27232760, 420623145, 26425808, 26425808, 26425808, 26425808, 26425808, 26425808, 26044318, 25739482, 25739482, 176087228, 25739482, 25739482, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25138869, 25263093, 25263093, 25263093, 25263093, 25263093, 51559993, 26287926, 26287926, 26287926, 26287926, 26287926, 26421342, 26437374, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 25668423, 3389305200, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 25929013, 26502929, 26445624, 26445624, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 26752166, 26437374, 26437374, 26437374, 26437374, 26437374, 25916533, 25916533, 25916533, 25916533, 25916533, 25916533, 25954302, 25954302, 25954302, 25954302, 558214417, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 26077588, 26077588, 26077588, 26077588, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 27029173, 4641605664, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 25491349, 27200027, 27200027, 27200027, 27200027, 27200027, 26182733, 26125428, 26125428, 26125428, 26125428, 26125428, 26125428, 25853850, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 27312543, 25853850, 25853850, 25853850, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 27422527, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302]",0,0,0,CPU,601882624,0,601882624,0,601882624,601882624,1.0,1203765248
