sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16119242752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16238780416,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16318472192,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16561741824,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16733708288,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16851148800,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17016823808,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18874368,0,0,0,0,0,0
5000000000,0,17178304512,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,56623104,0,0,0,0,0,0
5500000000,0,17178304512,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75497472,0,0,0,0,0,0
6000000000,0,17178304512,17179869184,96468992,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,96468992,0,0,0,0,0,0
6500000000,0,17178304512,17179869184,117440512,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,117440512,0,0,0,0,0,0
7000000000,0,17178304512,17179869184,138412032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,138412032,0,0,0,0,0,0
7500000000,0,17178304512,17179869184,180355072,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,180355072,0,0,0,0,0,0
8000000000,0,17178304512,17179869184,201326592,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,201326592,0,0,0,0,0,0
8500000000,0,17178304512,17179869184,224395264,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,224395264,0,0,0,0,0,0
9000000000,0,17178304512,17179869184,249561088,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,249561088,0,0,0,0,0,0
9500000000,0,17178304512,17179869184,274726912,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,274726912,0,0,0,0,0,0
10000000000,0,17178304512,17179869184,325058560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,325058560,0,0,0,0,0,0
10500000000,0,17178304512,17179869184,350224384,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,350224384,0,0,0,0,0,0
11000000000,0,17178304512,17179869184,375390208,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,375390208,0,0,0,0,0,0
11500000000,0,17178304512,17179869184,400556032,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,400556032,0,0,0,0,0,0
12000000000,0,17178304512,17179869184,425721856,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,425721856,0,0,0,0,0,0
12500000000,0,17178304512,17179869184,452984832,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,452984832,0,0,0,0,0,0
13000000000,0,17178304512,17179869184,507510784,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,507510784,0,0,0,0,0,0
13500000000,0,17178304512,17179869184,534773760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,534773760,0,0,0,0,0,0
14000000000,0,17178304512,17179869184,562036736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,0,0,0,0,0,0
14500000000,0,17163624448,17179869184,534773760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,27262976,0,0,0,0,0
15000000000,0,17178304512,17179869184,480247808,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,81788928,0,0,0,0,0
15500000000,0,17172013056,17179869184,375390208,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,186646528,0,0,0,0,0
16000000000,0,17178304512,17179869184,159383552,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,402653184,0,0,0,0,0
16500000000,0,17176207360,17179869184,117440512,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,444596224,0,0,0,0,0
17000000000,0,17178304512,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,486539264,0,0,0,0,0
17500000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,562036736,543162368,0,0,0,0,0
18000000000,0,17178304512,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,580911104,543162368,0,0,0,0,0
18500000000,0,17178304512,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,620756992,543162368,0,0,0,0,0
19000000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,620756992,601882624,0,0,0,0,0
19500000000,0,17178304512,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,639631360,601882624,0,0,0,0,0
20000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,639631360,639631360,0,0,0,0,0
20500000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,658505728,639631360,0,0,0,0,0
21000000000,0,17178304512,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,696254464,639631360,0,0,0,0,0
21500000000,0,17178304512,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,717225984,639631360,0,0,0,0,0
22000000000,0,17178304512,17179869184,98566144,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,738197504,639631360,0,0,0,0,0
22500000000,0,17178304512,17179869184,119537664,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,759169024,639631360,0,0,0,0,0
23000000000,0,17178304512,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,780140544,639631360,0,0,0,0,0
23500000000,0,17178304512,17179869184,119537664,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,801112064,681574400,0,0,0,0,0
24000000000,0,17178304512,17179869184,142606336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,824180736,681574400,0,0,0,0,0
24500000000,0,17178304512,17179869184,165675008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,847249408,681574400,0,0,0,0,0
25000000000,0,17178304512,17179869184,188743680,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,870318080,681574400,0,0,0,0,0
25500000000,0,17178304512,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,870318080,813694976,0,0,0,0,0
26000000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,870318080,851443712,0,0,0,0,0
26500000000,0,17163624448,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,870318080,870318080,0,0,0,0,0
27000000000,0,17169915904,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,870318080,870318080,0,0,0,0,0
27500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,870318080,870318080,0,0,0,0,0
28000000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,889192448,870318080,0,0,0,0,0
28500000000,0,17178304512,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,908066816,870318080,0,0,0,0,0
29000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,908066816,908066816,0,0,0,0,0
29500000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,926941184,908066816,0,0,0,0,0
30000000000,0,17178304512,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,964689920,908066816,0,0,0,0,0
30500000000,0,17178304512,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,983564288,908066816,0,0,0,0,0
31000000000,0,17178304512,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,983564288,945815552,0,0,0,0,0
31500000000,0,17178304512,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1002438656,945815552,0,0,0,0,0
32000000000,0,17178304512,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1021313024,945815552,0,0,0,0,0
32500000000,0,17174110208,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1042284544,985661440,0,0,0,0,0
33000000000,0,17178304512,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1063256064,985661440,0,0,0,0,0
33500000000,0,17178304512,17179869184,98566144,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1084227584,985661440,0,0,0,0,0
34000000000,0,17178304512,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1084227584,1027604480,0,0,0,0,0
34500000000,0,17178304512,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1105199104,1027604480,0,0,0,0,0
35000000000,0,17178304512,17179869184,119537664,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1147142144,1027604480,0,0,0,0,0
35500000000,0,17178304512,17179869184,77594624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1147142144,1069547520,0,0,0,0,0
36000000000,0,17169915904,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1147142144,1109393408,0,0,0,0,0
36500000000,0,17174110208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1147142144,1147142144,0,0,0,0,0
37000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1147142144,1147142144,0,0,0,0,0
37500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1147142144,1147142144,0,0,0,0,0
38000000000,0,17174110208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1147142144,1147142144,0,0,0,0,0
38500000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1166016512,1147142144,0,0,0,0,0
39000000000,0,17178304512,17179869184,56623104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1203765248,1147142144,0,0,0,0,0
39500000000,0,17178304512,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1222639616,1147142144,0,0,0,0,0
40000000000,0,17178304512,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1222639616,1184890880,0,0,0,0,0
40500000000,0,17178304512,17179869184,58720256,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1243611136,1184890880,0,0,0,0,0
41000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1243611136,1243611136,0,0,0,0,0
41500000000,0,17167818752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1262485504,1262485504,0,0,0,0,0
42000000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1281359872,1262485504,0,0,0,0,0
42500000000,0,17178304512,17179869184,39845888,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1302331392,1262485504,0,0,0,0,0
43000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1302331392,1302331392,0,0,0,0,0
43500000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1321205760,1302331392,0,0,0,0,0
44000000000,0,17178304512,17179869184,39845888,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1342177280,1302331392,0,0,0,0,0
44500000000,0,17169915904,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1363148800,1344274432,0,0,0,0,0
45000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1363148800,1363148800,0,0,0,0,0
