model,tier,policy,mean_ttft_ms,mean_tpot_ms,tier_transition_mb_total,composite_score
phi_moe,cpu_dram,tail,88893.57576889843,89.79971803125,5612.0,0.0012134145151033772
phi_moe,cxl,tail,88925.1424496211,89.82558084374999,5612.0,0.0012626568203023348
phi_moe,cpu_dram,smallest_kv,87953.00837234374,91.76745233984374,5428.0,0.0015422976849320791
phi_moe,ethernet,tail,89123.79584723046,89.98848524609375,5612.0,0.00157265992333258
phi_moe,cxl,smallest_kv,87983.93464084374,91.79305086328124,5428.0,0.0015907450859615558
phi_moe,pcie_nvme,tail,89298.0018819961,90.13133100781248,5612.0,0.001844503945717791
phi_moe,ethernet,smallest_kv,88178.58583516796,91.95440975390623,5428.0,0.0018958636936477547
phi_moe,pcie_nvme,smallest_kv,88349.28013651953,92.09589160546876,5428.0,0.002163415701168567
phi_moe,ssd,tail,89847.61234535546,90.581807359375,5612.0,0.002702004700187913
phi_moe,ssd,smallest_kv,88887.77391091797,92.54190812890624,5428.0,0.003007218221037477
phi_moe,cxl,random,92578.03797189843,101.79794015234374,9380.0,0.021170195127174146
phi_moe,ssd,random,97843.3902714336,110.77542569140624,10040.0,0.034295204638310976
phi_moe,cpu_dram,random,110139.33836889062,120.21445982421876,10208.0,0.053298139172466716
phi_moe,ethernet,random,107818.66110689452,119.96714762109374,11624.0,0.053669315809952434
phi_moe,pcie_nvme,random,112825.14792307813,126.1815724453125,11028.0,0.06200069727329482
phi_moe,cxl,largest_kv,404490.0670053477,360.8782677226562,49532.0,0.5869175849669491
phi_moe,ethernet,largest_kv,405869.4477797813,362.28102321875,49532.0,0.5892830207953176
phi_moe,pcie_nvme,largest_kv,407081.2320570117,363.5133748242187,49532.0,0.5913610788008394
phi_moe,ssd,largest_kv,410943.4316761562,367.4417178828125,49532.0,0.5979847300062354
phi_moe,cpu_dram,evicpress,571869.5334233359,655.0410598671874,57972.0,0.9871603931357087
phi_moe,cpu_dram,oldest,571869.5334233359,655.0410598671874,57972.0,0.9871603931357087
phi_moe,cxl,evicpress,572083.95103975,655.3390521210937,57972.0,0.9875907452899406
phi_moe,cxl,oldest,572083.95103975,655.3390521210937,57972.0,0.9875907452899406
phi_moe,ethernet,evicpress,573406.0702817499,657.1755655742187,57972.0,0.990243604497741
phi_moe,ethernet,oldest,573406.0702817499,657.1755655742187,57972.0,0.990243604497741
phi_moe,pcie_nvme,evicpress,574567.4777343827,658.7889098789062,57972.0,0.9925740474394408
phi_moe,pcie_nvme,oldest,574567.4777343827,658.7889098789062,57972.0,0.9925740474394408
phi_moe,ssd,evicpress,578267.803326625,663.9304111640624,57972.0,1.0
phi_moe,ssd,oldest,578267.803326625,663.9304111640624,57972.0,1.0
