accelerator,model,tier,workload,baseline_policy,compare_policy,tail_mean_ttft_ms,evicpress_mean_ttft_ms,delta_mean_ttft_ms,delta_pct_mean_ttft_ms,tail_mean_tpot_ms,evicpress_mean_tpot_ms,delta_mean_tpot_ms,delta_pct_mean_tpot_ms,tail_mean_latency_ms,evicpress_mean_latency_ms,delta_mean_latency_ms,delta_pct_mean_latency_ms,tail_p99_ttft_ms,evicpress_p99_ttft_ms,delta_p99_ttft_ms,delta_pct_p99_ttft_ms,tail_p99_tpot_ms,evicpress_p99_tpot_ms,delta_p99_tpot_ms,delta_pct_p99_tpot_ms,tail_tier_transition_mb_total,evicpress_tier_transition_mb_total,delta_tier_transition_mb_total,delta_pct_tier_transition_mb_total,tail_transition_mb_per_generated_token,evicpress_transition_mb_per_generated_token,delta_transition_mb_per_generated_token,delta_pct_transition_mb_per_generated_token,tail_stall_overlap_ratio,evicpress_stall_overlap_ratio,delta_stall_overlap_ratio,delta_pct_stall_overlap_ratio,tail_mean_stall_ms_per_request,evicpress_mean_stall_ms_per_request,delta_mean_stall_ms_per_request,delta_pct_mean_stall_ms_per_request,tail_shadow_hit_rate,evicpress_shadow_hit_rate,delta_shadow_hit_rate,delta_pct_shadow_hit_rate,tail_harp_avg_shadow_ratio,evicpress_harp_avg_shadow_ratio,delta_harp_avg_shadow_ratio,delta_pct_harp_avg_shadow_ratio,tail_evicpress_compression_events,evicpress_evicpress_compression_events,delta_evicpress_compression_events,delta_pct_evicpress_compression_events,tail_evicpress_compressed_bytes_saved,evicpress_evicpress_compressed_bytes_saved,delta_evicpress_compressed_bytes_saved,delta_pct_evicpress_compressed_bytes_saved,fifo_mean_ttft_ms,fifo_mean_tpot_ms,fifo_mean_latency_ms,fifo_p99_ttft_ms,fifo_p99_tpot_ms,fifo_tier_transition_mb_total,fifo_transition_mb_per_generated_token,fifo_stall_overlap_ratio,fifo_mean_stall_ms_per_request,fifo_shadow_hit_rate,fifo_harp_avg_shadow_ratio,fifo_evicpress_compression_events,fifo_evicpress_compressed_bytes_saved,largest_kv_mean_ttft_ms,largest_kv_mean_tpot_ms,largest_kv_mean_latency_ms,largest_kv_p99_ttft_ms,largest_kv_p99_tpot_ms,largest_kv_tier_transition_mb_total,largest_kv_transition_mb_per_generated_token,largest_kv_stall_overlap_ratio,largest_kv_mean_stall_ms_per_request,largest_kv_shadow_hit_rate,largest_kv_harp_avg_shadow_ratio,largest_kv_evicpress_compression_events,largest_kv_evicpress_compressed_bytes_saved,lru_mean_ttft_ms,lru_mean_tpot_ms,lru_mean_latency_ms,lru_p99_ttft_ms,lru_p99_tpot_ms,lru_tier_transition_mb_total,lru_transition_mb_per_generated_token,lru_stall_overlap_ratio,lru_mean_stall_ms_per_request,lru_shadow_hit_rate,lru_harp_avg_shadow_ratio,lru_evicpress_compression_events,lru_evicpress_compressed_bytes_saved,random_mean_ttft_ms,random_mean_tpot_ms,random_mean_latency_ms,random_p99_ttft_ms,random_p99_tpot_ms,random_tier_transition_mb_total,random_transition_mb_per_generated_token,random_stall_overlap_ratio,random_mean_stall_ms_per_request,random_shadow_hit_rate,random_harp_avg_shadow_ratio,random_evicpress_compression_events,random_evicpress_compressed_bytes_saved,smallest_kv_mean_ttft_ms,smallest_kv_mean_tpot_ms,smallest_kv_mean_latency_ms,smallest_kv_p99_ttft_ms,smallest_kv_p99_tpot_ms,smallest_kv_tier_transition_mb_total,smallest_kv_transition_mb_per_generated_token,smallest_kv_stall_overlap_ratio,smallest_kv_mean_stall_ms_per_request,smallest_kv_shadow_hit_rate,smallest_kv_harp_avg_shadow_ratio,smallest_kv_evicpress_compression_events,smallest_kv_evicpress_compressed_bytes_saved
A6000,llama8b,cpu_dram,fixed_256,tail,evicpress,92344.40771678125,120530.93430852343,28186.52659174218,30.523263171701508,49.924898296875,62.18825725,12.263358953125,24.563613290109824,117856.0310110039,152309.13402535938,34453.10301435548,29.233211672586094,196257.4316364,241409.3785914,45151.94695499999,23.006490291104793,89.82116979999996,143.45305804999998,53.63188825000002,59.70963011216542,8868.0,69692.0,60824.0,685.8818222823635,0.067657470703125,0.531707763671875,0.46405029296875,685.8818222823635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cpu_dram,fixed_256,tail,fifo,92344.40771678125,,591119.7591239336,640.1251291111076,49.924898296875,,480.46429051562495,962.3740997098819,117856.0310110039,,836637.0115734492,709.8805249052843,196257.4316364,,1332351.7944161997,678.8796649925625,89.82116979999996,,624.5010662999999,695.2715798408586,8868.0,,39640.0,447.000451059991,0.067657470703125,,0.30242919921875,447.000451059991,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,683464.1668407149,530.3891888124999,954493.0425844531,1528609.2260525997,714.3222360999999,48508.0,0.370086669921875,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cpu_dram,fixed_256,tail,largest_kv,92344.40771678125,,465581.6730606875,504.1796082428929,49.924898296875,,295.8220466210937,592.5340996430441,117856.0310110039,,616746.7388752812,523.3052000688002,196257.4316364,,1001751.9774803498,510.4275385282043,89.82116979999996,,513.81701255,572.0444453062557,8868.0,,45020.0,507.6680198466396,0.067657470703125,,0.343475341796875,507.6680198466396,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,557926.0807774687,345.74694491796873,734602.7698862851,1198009.40911675,603.63818235,53888.0,0.4111328125,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cpu_dram,fixed_256,tail,lru,92344.40771678125,,2767.4678540000023,2.9968981581297047,49.924898296875,,10.708740703124995,21.449699585658042,117856.0310110039,,8239.634329738285,6.99127084041119,196257.4316364,,16930.538627149945,8.62669937437917,89.82116979999996,,2.6424900500000064,2.941945708215445,8868.0,,5508.0,62.11096075778079,0.067657470703125,,0.042022705078125,62.11096075778079,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,95111.87557078125,60.633638999999995,126095.66534074218,213187.97026354994,92.46365984999997,14376.0,0.10968017578125,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cpu_dram,fixed_256,tail,random,92344.40771678125,,23409.112251261715,25.34978872034901,49.924898296875,,19.46045355859374,38.97945558721719,117856.0310110039,,33353.403999011716,28.30012491757643,196257.4316364,,50190.667367949995,25.573893915485797,89.82116979999996,,30.345275400000006,33.78410175192354,8868.0,,10652.0,120.11727559765448,0.067657470703125,,0.081268310546875,120.11727559765448,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115753.51996804297,69.38535185546874,151209.43501001562,246448.09900435,120.16644519999997,19520.0,0.14892578125,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
A6000,llama8b,cpu_dram,fixed_256,tail,smallest_kv,92344.40771678125,,-1843.1978776484466,-1.9960037897492435,49.924898296875,,2.511590511718751,5.0307373623151905,117856.0310110039,,-559.7751271445304,-0.47496519468932885,196257.4316364,,-6254.417996150005,-3.1868439039482435,89.82116979999996,,0.7186710999999946,0.8001132712925265,8868.0,,2244.0,25.304465493910687,0.067657470703125,,0.017120361328125,25.304465493910687,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90501.2098391328,52.43648880859375,117296.25588385937,190003.01364025,90.53984089999996,11112.0,0.08477783203125,0.0,0.0,0.0,1.0,0.0,0.0
A6000,llama8b,cxl,fixed_256,tail,evicpress,92398.98094586328,120530.93430852343,28131.953362660148,30.446172755024982,49.947796515625,62.18825725,12.240460734374999,24.506507970868856,117922.30521873046,152309.13402535938,34386.828806628924,29.160580555854853,196357.1513414,241409.3785914,45052.227249999996,22.94402161684914,89.88367519999996,143.45305804999998,53.569382850000025,59.59856751607332,8868.0,69692.0,60824.0,685.8818222823635,0.067657470703125,0.531707763671875,0.46405029296875,685.8818222823635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cxl,fixed_256,tail,fifo,92398.98094586328,,591283.2304862147,639.9239736557794,49.947796515625,,480.61160031249995,962.2278335384661,117922.30521873046,,836875.7582480351,709.6840217766605,196357.1513414,,1332744.3555463501,678.7348188959767,89.88367519999996,,624.66688855,694.9725711148939,8868.0,,39640.0,447.000451059991,0.067657470703125,,0.30242919921875,447.000451059991,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,683682.211432078,530.5593968281249,954798.0634667656,1529101.50688775,714.5505637499999,48508.0,0.370086669921875,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cxl,fixed_256,tail,largest_kv,92398.98094586328,,465783.36275864835,504.10010802126874,49.947796515625,,295.963872484375,592.5464047083431,117922.30521873046,,617020.9016119922,523.2435886217617,196357.1513414,,1002233.8328799998,510.4137160441116,89.88367519999996,,513.99091655,571.8401204738458,8868.0,,45020.0,507.6680198466396,0.067657470703125,,0.343475341796875,507.6680198466396,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,558182.3437045116,345.91166899999996,734943.2068307226,1198590.9842213998,603.8745917499999,53888.0,0.4111328125,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cxl,fixed_256,tail,lru,92398.98094586328,,2783.95518664844,3.0129717429238356,49.947796515625,,10.726142109374997,21.474705307609664,117922.30521873046,,8265.013818878913,7.008863847724476,196357.1513414,,16996.06774634996,8.655690730000169,89.88367519999996,,2.6453403500000263,2.943070968241881,8868.0,,5508.0,62.11096075778079,0.067657470703125,,0.042022705078125,62.11096075778079,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,95182.93613251172,60.673938625,126187.31903760937,213353.21908774995,92.52901554999998,14376.0,0.10968017578125,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A6000,llama8b,cxl,fixed_256,tail,random,92398.98094586328,,18513.27484135155,20.03623270715346,49.947796515625,,13.599002636718744,27.226431565333648,117922.30521873046,,25462.365173292972,21.59249272312275,196357.1513414,,35991.32234295001,18.32951949907494,89.88367519999996,,22.17064725000003,24.665933163801075,8868.0,,8656.0,97.60938204781236,0.067657470703125,,0.0660400390625,97.60938204781236,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110912.25578721483,63.546799152343745,143384.67039202343,232348.47368435,112.05432244999999,17524.0,0.133697509765625,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
A6000,llama8b,cxl,fixed_256,tail,smallest_kv,92398.98094586328,,-1838.6598152187507,-1.9899135211199186,49.947796515625,,2.5175395859374987,5.040341639795752,117922.30521873046,,-552.1970979453035,-0.4682719668014038,196357.1513414,,-6234.344269149995,-3.175002400758268,89.88367519999996,,0.7182519999999926,0.7990906006032928,8868.0,,2244.0,25.304465493910687,0.067657470703125,,0.017120361328125,25.304465493910687,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90560.32113064453,52.4653361015625,117370.10812078515,190122.80707225,90.60192719999995,11112.0,0.08477783203125,0.0,0.0,0.0,1.0,0.0,0.0
A6000,llama8b,ethernet,fixed_256,tail,evicpress,94056.02453244921,120530.93430852343,26474.909776074215,28.148021254013777,50.644386125,62.18825725,11.543871125000003,22.793979764129293,119935.30609522655,152309.13402535938,32373.82793013283,26.992742157533307,199392.2662654,241409.3785914,42017.112326,21.072588778379878,91.77177514999995,143.45305804999998,51.68128290000003,56.31500841683354,8868.0,69692.0,60824.0,685.8818222823635,0.067657470703125,0.531707763671875,0.46405029296875,685.8818222823635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
