instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit
0,2,meta-llama/Llama-3.1-8B,10,26,100000000,515350703,415350703,454347,26989824,25890725,"[24432234, 26752815, 24699503, 26480084, 24557343, 26941729, 25032515, 26754121, 25051943, 26935182, 25339920, 27327739, 25210479, 27348788, 25496484]",0,0,0
0,7,meta-llama/Llama-3.1-8B,5,17,350000000,678233089,328233089,7692111,34627293,26691436,"[25339920, 27327739, 25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569]",0,0,0
0,0,meta-llama/Llama-3.1-8B,11,43,0,840543579,840543579,1,25959753,26276897,"[24017853, 24017853, 26458888, 26535477, 24432234, 26752815, 24699503, 26480084, 24557343, 26941729, 25032515, 26754121, 25051943, 26935182, 25339920, 27327739, 25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083]",0,0,0
0,4,meta-llama/Llama-3.1-8B,9,33,200000000,840543579,640543579,2874376,29354460,26573439,"[24557343, 26941729, 25032515, 26754121, 25051943, 26935182, 25339920, 27327739, 25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083]",0,0,0
0,6,meta-llama/Llama-3.1-8B,7,27,300000000,840543579,540543579,5886047,32640168,26731758,"[25051943, 26935182, 25339920, 27327739, 25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083]",0,0,0
0,9,meta-llama/Llama-3.1-8B,11,29,450000000,946919058,496919058,12505431,39854219,26886167,"[25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151]",0,0,0
0,14,meta-llama/Llama-3.1-8B,8,22,700000000,1077475811,377475811,3992951,31597842,26605997,"[25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206]",0,0,0
0,10,meta-llama/Llama-3.1-8B,10,32,500000000,1103076313,603076313,15350703,42659718,26686504,"[25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502]",0,0,0
0,8,meta-llama/Llama-3.1-8B,12,40,400000000,1154596037,754596037,9967213,37294952,26566706,"[25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862]",0,0,0
0,11,meta-llama/Llama-3.1-8B,8,30,550000000,1154596037,604596037,18156202,45444960,26626241,"[25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862]",0,0,0
0,17,meta-llama/Llama-3.1-8B,5,21,850000000,1282078457,432078457,16303441,43795405,25885536,"[25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484]",0,0,0
0,5,meta-llama/Llama-3.1-8B,11,51,250000000,1307288936,1057288936,3911803,30853532,26318856,"[25032515, 26754121, 25051943, 26935182, 25339920, 27327739, 25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479]",0,0,0
0,1,meta-llama/Llama-3.1-8B,12,60,50000000,1332628856,1282628856,23995459,50454347,26216478,"[26535477, 24432234, 26752815, 24699503, 26480084, 24557343, 26941729, 25032515, 26754121, 25051943, 26935182, 25339920, 27327739, 25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479, 25339920]",0,0,0
0,13,meta-llama/Llama-3.1-8B,10,36,650000000,1332628856,682628856,741520,28233089,26175830,"[25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479, 25339920]",0,0,0
0,18,meta-llama/Llama-3.1-8B,10,30,900000000,1432758916,532758916,19395907,46919058,25570518,"[25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479, 25339920, 25032515, 25032515, 25032515, 25032515]",0,0,0
0,16,meta-llama/Llama-3.1-8B,20,54,800000000,1678443226,878443226,12454496,40543579,25390898,"[25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479, 25339920, 25032515, 25032515, 25032515, 25032515, 24557343, 24557343, 24557343, 24557343, 24557343, 24579519, 24579519, 24579519, 24579519, 24579519]",0,0,0
0,19,meta-llama/Llama-3.1-8B,12,40,950000000,1678443226,728443226,22519560,50069193,25124964,"[25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479, 25339920, 25032515, 25032515, 25032515, 25032515, 24557343, 24557343, 24557343, 24557343, 24557343, 24579519, 24579519, 24579519, 24579519, 24579519]",0,0,0
0,3,meta-llama/Llama-3.1-8B,20,84,150000000,1801710956,1651710956,1422058,28174873,25770414,"[24699503, 26480084, 24557343, 26941729, 25032515, 26754121, 25051943, 26935182, 25339920, 27327739, 25210479, 27348788, 25496484, 27309015, 25496484, 27288758, 25722409, 29574151, 27491569, 25759862, 27604891, 25600502, 29453946, 25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479, 25339920, 25032515, 25032515, 25032515, 25032515, 24557343, 24557343, 24557343, 24557343, 24557343, 24579519, 24579519, 24579519, 24579519, 24579519, 24653546, 24653546, 24653546, 24653546, 24653546]",0,0,0
0,15,meta-llama/Llama-3.1-8B,50,100,750000000,2023677065,1273677065,7198344,36652290,25245403,"[25802206, 28089083, 25759862, 27491964, 25600502, 27523151, 25600502, 27549633, 25802206, 25802206, 25802206, 25600502, 25759862, 25759862, 25496484, 25496484, 25496484, 25496484, 25496484, 25210479, 25339920, 25032515, 25032515, 25032515, 25032515, 24557343, 24557343, 24557343, 24557343, 24557343, 24579519, 24579519, 24579519, 24579519, 24579519, 24653546, 24653546, 24653546, 24653546, 24653546, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901]",0,0,0
