sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16083591168,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1000000000,0,16175865856,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1500000000,0,16215711744,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
2000000000,0,16521895936,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
2500000000,0,16624656384,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
3000000000,0,16737902592,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
3500000000,0,17079738368,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
4000000000,0,17455128576,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
4500000000,0,17534820352,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
5000000000,0,17742438400,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
5500000000,0,17673232384,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
6000000000,0,17916502016,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
6500000000,0,18082177024,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
7000000000,0,18075885568,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
7500000000,0,18363195392,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
8000000000,0,18633728000,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
8500000000,0,18759557120,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
9000000000,0,18929426432,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
9500000000,0,19086712832,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
10000000000,0,19069935616,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
10500000000,0,18969272320,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
11000000000,0,18816180224,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
11500000000,0,18830860288,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
12000000000,0,18891677696,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
12500000000,0,18954592256,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
13000000000,0,18990243840,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
13500000000,0,18954592256,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
14000000000,0,18554036224,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
14500000000,0,18375778304,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
15000000000,0,18252046336,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
15500000000,0,18220589056,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
16000000000,0,18088468480,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
16500000000,0,17952153600,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
17000000000,0,17736146944,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
17500000000,0,17545306112,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
18000000000,0,17180401664,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
18500000000,0,17155235840,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
19000000000,0,17134264320,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
19500000000,0,17060864000,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
20000000000,0,17098612736,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
20500000000,0,16997949440,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
21000000000,0,16962297856,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
21500000000,0,16903577600,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
22000000000,0,16828080128,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
22500000000,0,16765165568,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
23000000000,0,16786137088,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
23500000000,0,16737902592,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
24000000000,0,16754679808,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
24500000000,0,16771457024,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
25000000000,0,16620462080,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
25500000000,0,16551256064,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
26000000000,0,16232488960,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
26500000000,0,16146505728,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
27000000000,0,16148602880,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
27500000000,0,16150700032,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
28000000000,0,16154894336,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
