instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit
0,9,meta-llama/Llama-3.1-8B,70,71,2026970074,2130790485,103820411,12155421,103820411,0,[],0,0,0
0,26,meta-llama/Llama-3.1-8B,8,25,3250691133,3942430114,691738981,8241459,38836468,40806407,"[27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816]",0,0,0
0,31,meta-llama/Llama-3.1-8B,23,37,3529630331,3970537631,440907300,2675245,44168588,30518362,"[56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517]",0,0,0
0,15,meta-llama/Llama-3.1-8B,12,52,2622246507,4484449093,1862202586,195564345,226780837,41933891,"[74835607, 32100478, 212507276, 90461887, 30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924]",0,0,0
0,2,meta-llama/Llama-3.1-8B,30,128,1479613520,5302922150,3823308630,15450687,42781883,38974502,"[24653546, 24653546, 26956153, 26877025, 28462267, 25051943, 25061799, 25061799, 25061799, 25061799, 25061799, 25061799, 26779056, 25339920, 25354128, 31347686, 25221007, 25221007, 25221007, 25221007, 91664990, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 39558171, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 27606866, 210302916, 31216492, 74835607, 32100478, 212507276, 90461887, 30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917]",0,0,0
0,11,meta-llama/Llama-3.1-8B,134,205,2379405751,5454395645,3074989894,6501894,46060065,43270426,"[25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 27606866, 210302916, 31216492, 74835607, 32100478, 212507276, 90461887, 30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699]",0,0,0
0,43,meta-llama/Llama-3.1-8B,24,48,4880823975,5665118486,784294511,25391393,57180784,31613640,"[31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263]",0,0,0
0,32,meta-llama/Llama-3.1-8B,224,290,3536356724,5875084438,2338727714,37442195,93901417,34535789,"[28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136]",0,0,0
0,19,meta-llama/Llama-3.1-8B,352,435,2823890667,6113609054,3289718387,25136677,99972284,38899342,"[32100478, 212507276, 90461887, 30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577]",0,0,0
0,37,meta-llama/Llama-3.1-8B,170,217,4382628210,6143355074,1760726864,11125990,73398959,36681041,"[28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020]",0,0,0
