sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16060522496,25769803776,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1000000000,0,16060522496,25769803776,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1500000000,0,16102465536,25769803776,46661632,137438953472,320,356,0,320,0,0,0,0,0.00,0,0,0,0,0,0,0
2000000000,0,16131825664,25769803776,82313216,137438953472,544,628,0,544,0,1,0,1,0.00,0,0,0,0,0,0,0
2500000000,0,16222003200,25769803776,174981120,137438953472,1232,1335,64,1168,0,1,0,0,0.00,0,0,0,0,0,0,0
3000000000,0,16654016512,25769803776,614465536,137438953472,4528,4688,64,4464,48,19,48,18,1.46,0,0,0,0,0,0,0
3500000000,0,16805011456,25769803776,774111232,137438953472,5680,5906,64,5616,48,20,0,1,0.00,0,0,0,0,0,0,0
4000000000,0,16895188992,25769803776,861274112,137438953472,6368,6571,112,6256,176,26,128,6,49.42,0,0,0,0,0,0,0
4500000000,0,17127972864,25769803776,1096679424,137438953472,8144,8367,160,7984,192,45,16,19,1.21,0,0,0,0,0,0,0
5000000000,0,17249607680,25769803776,1221722112,137438953472,9072,9321,160,8912,192,59,0,14,0.00,0,0,0,0,0,0,0
5500000000,0,17371242496,25769803776,1350959104,137438953472,10000,10307,320,9680,192,63,0,4,0.00,0,0,0,0,0,0,0
6000000000,0,17461420032,25769803776,1440612352,137438953472,10688,10991,640,10048,192,63,0,0,0.00,0,0,0,0,0,0,0
6500000000,0,17551597568,25769803776,1532100608,137438953472,11376,11689,2464,8912,192,63,0,0,0.00,0,0,0,0,0,0,0
7000000000,0,17637580800,25769803776,1614938112,137438953472,12032,12321,3504,8528,192,63,0,0,0.00,0,0,0,0,0,0,0
7500000000,0,17713078272,25769803776,1695809536,137438953472,12608,12938,3952,8656,192,63,0,0,0.00,0,0,0,0,0,0,0
8000000000,0,17796964352,25769803776,1777336320,137438953472,13248,13560,4256,8992,192,63,0,0,0.00,0,0,0,0,0,0,0
8500000000,0,17876656128,25769803776,1855193088,137438953472,13856,14154,4256,9600,192,63,0,0,0.00,0,0,0,0,0,0,0
9000000000,0,17954250752,25769803776,1930952704,137438953472,14448,14732,4384,10064,192,63,0,0,0.00,0,0,0,0,0,0,0
9500000000,0,18021359616,25769803776,2001600512,137438953472,14960,15271,4832,10128,192,63,0,0,0.00,0,0,0,0,0,0,0
10000000000,0,18086371328,25769803776,2069495808,137438953472,15456,15789,7120,8336,192,63,0,0,0.00,0,0,0,0,0,0,0
10500000000,0,18140897280,25769803776,2123235328,137438953472,15872,16199,7312,8560,192,63,0,0,0.00,0,0,0,0,0,0,0
11000000000,0,18193326080,25769803776,2171994112,137438953472,16272,16571,8880,7392,192,63,0,0,0.00,0,0,0,0,0,0,0
11500000000,0,18231074816,25769803776,2213675008,137438953472,16560,16889,9152,7408,192,63,0,0,0.00,0,0,0,0,0,0,0
12000000000,0,18266726400,25769803776,2249326592,137438953472,16832,17161,11488,5344,192,63,0,0,0.00,0,0,0,0,0,0,0
12500000000,0,18293989376,25769803776,2277507072,137438953472,17040,17376,12096,4944,192,63,0,0,0.00,0,0,0,0,0,0,0
13000000000,0,18325446656,25769803776,2303459328,137438953472,17280,17574,12720,4560,192,63,0,0,0.00,0,0,0,0,0,0,0
13500000000,0,18350612480,25769803776,2325872640,137438953472,17472,17745,12720,4752,192,63,0,0,0.00,0,0,0,0,0,0,0
14000000000,0,18369486848,25769803776,2348285952,137438953472,17616,17916,12720,4896,192,63,0,0,0.00,0,0,0,0,0,0,0
14500000000,0,18390458368,25769803776,2371485696,137438953472,17776,18093,13104,4672,192,63,0,0,0.00,0,0,0,0,0,0,0
15000000000,0,18409332736,25769803776,2390491136,137438953472,17920,18238,14704,3216,192,63,0,0,0.00,0,0,0,0,0,0,0
15500000000,0,18430304256,25769803776,2407923712,137438953472,18080,18371,14704,3376,192,63,0,0,0.00,0,0,0,0,0,0,0
16000000000,0,18449178624,25769803776,2425356288,137438953472,18224,18504,14704,3520,192,63,0,0,0.00,0,0,0,0,0,0,0
16500000000,0,18461761536,25769803776,2439249920,137438953472,18320,18610,15760,2560,192,63,0,0,0.00,0,0,0,0,0,0,0
17000000000,0,18470150144,25769803776,2449735680,137438953472,18384,18690,16240,2144,192,63,0,0,0.00,0,0,0,0,0,0,0
17500000000,0,18480635904,25769803776,2459697152,137438953472,18464,18766,16240,2224,192,63,0,0,0.00,0,0,0,0,0,0,0
18000000000,0,18491121664,25769803776,2469003264,137438953472,18544,18837,16800,1744,192,63,0,0,0.00,0,0,0,0,0,0,0
18500000000,0,18499510272,25769803776,2476474368,137438953472,18608,18894,16800,1808,192,63,0,0,0.00,0,0,0,0,0,0,0
19000000000,0,18503704576,25769803776,2483290112,137438953472,18640,18946,17408,1232,192,63,0,0,0.00,0,0,0,0,0,0,0
19500000000,0,18507898880,25769803776,2488270848,137438953472,18672,18984,17408,1264,192,63,0,0,0.00,0,0,0,0,0,0,0
20000000000,0,18512093184,25769803776,2493251584,137438953472,18704,19022,17408,1296,192,63,0,0,0.00,0,0,0,0,0,0,0
20500000000,0,18726002688,25769803776,2706505728,137438953472,20336,20649,18064,2272,192,63,0,0,0.00,0,0,0,0,0,0,0
21000000000,0,18946203648,25769803776,2931687424,137438953472,22016,22367,19664,2352,192,65,0,2,0.00,0,0,0,0,0,0,0
21500000000,0,19086712832,25769803776,3072720896,137438953472,23088,23443,19664,3424,192,67,0,2,0.00,0,0,0,0,0,0,0
22000000000,0,19344662528,25769803776,3338665984,137438953472,25056,25472,19648,5408,272,81,80,14,4.03,0,0,0,0,0,0,0
22500000000,0,19485171712,25769803776,3481272320,137438953472,26128,26560,19648,6480,288,90,16,9,1.70,0,0,0,0,0,0,0
23000000000,0,19537600512,25769803776,3538026496,137438953472,26528,26993,19712,6816,288,106,0,16,0.00,0,0,0,0,0,0,0
23500000000,0,19822813184,25769803776,3825467392,137438953472,28704,29186,19712,8992,288,115,0,9,0.00,0,0,0,0,0,0,0
24000000000,0,20095442944,25769803776,4101373952,137438953472,30784,31291,20192,10592,448,145,160,30,8.06,0,0,0,0,0,0,0
24500000000,0,20170940416,25769803776,4183949312,137438953472,31360,31921,20304,11056,1040,153,592,8,78.83,0,0,0,0,0,0,0
25000000000,0,20315643904,25769803776,4331405312,137438953472,32464,33046,20496,11968,1072,167,32,14,6.35,0,0,0,0,0,0,0
25500000000,0,20416307200,25769803776,4432199680,137438953472,33232,33815,22544,10688,1072,170,0,3,0.00,0,0,0,0,0,0,0
26000000000,0,20502290432,25769803776,4519362560,137438953472,33888,34480,24224,9664,1072,170,0,0,0.00,0,0,0,0,0,0,0
26500000000,0,20584079360,25769803776,4603904000,137438953472,34512,35125,24992,9520,1072,170,0,0,0.00,0,0,0,0,0,0,0
27000000000,0,20674256896,25769803776,4689100800,137438953472,35200,35775,25856,9344,1072,170,0,0,0.00,0,0,0,0,0,0,0
27500000000,0,20749754368,25769803776,4767088640,137438953472,35776,36370,25856,9920,1072,170,0,0,0.00,0,0,0,0,0,0,0
28000000000,0,20823154688,25769803776,4845469696,137438953472,36336,36968,27296,9040,1072,170,0,0,0.00,0,0,0,0,0,0,0
28500000000,0,20902846464,25769803776,4920049664,137438953472,36944,37537,27424,9520,1072,170,0,0,0.00,0,0,0,0,0,0,0
29000000000,0,20972052480,25769803776,4988076032,137438953472,37472,38056,29504,7968,1072,170,0,0,0.00,0,0,0,0,0,0,0
29500000000,0,21030772736,25769803776,5046796288,137438953472,37920,38504,30400,7520,1072,170,0,0,0.00,0,0,0,0,0,0,0
30000000000,0,21091590144,25769803776,5106565120,137438953472,38384,38960,30400,7984,1072,170,0,0,0.00,0,0,0,0,0,0,0
30500000000,0,21152407552,25769803776,5163843584,137438953472,38848,39397,31408,7440,1072,170,0,0,0.00,0,0,0,0,0,0,0
31000000000,0,21198544896,25769803776,5213913088,137438953472,39200,39779,31648,7552,1072,170,0,0,0.00,0,0,0,0,0,0,0
31500000000,0,21242585088,25769803776,5262278656,137438953472,39536,40148,33568,5968,1072,170,0,0,0.00,0,0,0,0,0,0,0
32000000000,0,21286625280,25769803776,5305401344,137438953472,39872,40477,34272,5600,1072,170,0,0,0.00,0,0,0,0,0,0,0
32500000000,0,21318082560,25769803776,5338693632,137438953472,40112,40731,35280,4832,1072,170,0,0,0.00,0,0,0,0,0,0,0
33000000000,0,21357928448,25769803776,5372248064,137438953472,40416,40987,35584,4832,1072,170,0,0,0.00,0,0,0,0,0,0,0
33500000000,0,21387288576,25769803776,5400559616,137438953472,40640,41203,35584,5056,1072,170,0,0,0.00,0,0,0,0,0,0,0
34000000000,0,21412454400,25769803776,5428609024,137438953472,40832,41417,35952,4880,1072,170,0,0,0.00,0,0,0,0,0,0,0
34500000000,0,21435523072,25769803776,5454430208,137438953472,41008,41614,37296,3712,1072,170,0,0,0.00,0,0,0,0,0,0,0
35000000000,0,21450203136,25769803776,5472124928,137438953472,41120,41749,37760,3360,1072,170,0,0,0.00,0,0,0,0,0,0,0
35500000000,0,21469077504,25769803776,5489164288,137438953472,41264,41879,38176,3088,1072,170,0,0,0.00,0,0,0,0,0,0,0
36000000000,0,21487951872,25769803776,5504106496,137438953472,41408,41993,38176,3232,1072,170,0,0,0.00,0,0,0,0,0,0,0
36500000000,0,21496340480,25769803776,5515509760,137438953472,41472,42080,39136,2336,1072,170,0,0,0.00,0,0,0,0,0,0,0
37000000000,0,21506826240,25769803776,5525471232,137438953472,41552,42156,39136,2416,1072,170,0,0,0.00,0,0,0,0,0,0,0
37500000000,0,21515214848,25769803776,5535432704,137438953472,41616,42232,39136,2480,1072,170,0,0,0.00,0,0,0,0,0,0,0
38000000000,0,21525700608,25769803776,5545394176,137438953472,41696,42308,39136,2560,1072,170,0,0,0.00,0,0,0,0,0,0,0
38500000000,0,21538283520,25769803776,5554700288,137438953472,41792,42379,40144,1648,1072,170,0,0,0.00,0,0,0,0,0,0,0
39000000000,0,21544574976,25769803776,5561909248,137438953472,41840,42434,40768,1072,1072,170,0,0,0.00,0,0,0,0,0,0,0
39500000000,0,21548769280,25769803776,5566889984,137438953472,41872,42472,40768,1104,1072,170,0,0,0.00,0,0,0,0,0,0,0
40000000000,0,21552963584,25769803776,5569904640,137438953472,41904,42495,41328,576,1072,170,0,0,0.00,0,0,0,0,0,0,0
40500000000,0,21613780992,25769803776,5635309568,137438953472,42368,42994,41152,1216,1248,178,176,8,28.76,0,0,0,0,0,0,0
41000000000,0,21674598400,25769803776,5702156288,137438953472,42832,43504,39840,2992,2848,191,1600,13,82.14,0,0,0,0,0,0,0
41500000000,0,21708152832,25769803776,5740036096,137438953472,43088,43793,39840,3248,2848,196,0,5,0.00,0,0,0,0,0,0,0
42000000000,0,21911576576,25769803776,5943459840,137438953472,44640,45345,39840,4800,2848,206,0,10,0.00,0,0,0,0,0,0,0
42500000000,0,22056280064,25769803776,6092226560,137438953472,45744,46480,39840,5904,2880,218,32,12,3.76,0,0,0,0,0,0,0
43000000000,0,22192594944,25769803776,6232473600,137438953472,46784,47550,40512,6272,2896,234,16,16,1.99,0,0,0,0,0,0,0
43500000000,0,22331006976,25769803776,6370099200,137438953472,47840,48600,40512,7328,3040,253,144,19,18.25,0,0,0,0,0,0,0
44000000000,0,22542819328,25769803776,6583353344,137438953472,49456,50227,40384,9072,4000,282,960,29,43.56,0,0,0,0,0,0,0
44500000000,0,22635094016,25769803776,6677463040,137438953472,50160,50945,40912,9248,4000,283,0,1,0.00,0,0,0,0,0,0,0
45000000000,0,22865780736,25769803776,6913392640,137438953472,51920,52745,40064,11856,4848,314,848,31,36.39,0,0,0,0,0,0,0
45500000000,0,22951763968,25769803776,7001473024,137438953472,52576,53417,40352,12224,4848,314,0,0,0.00,0,0,0,0,0,0,0
46000000000,0,23041941504,25769803776,7093485568,137438953472,53264,54119,40352,12912,4848,314,0,0,0.00,0,0,0,0,0,0,0
46500000000,0,23130021888,25769803776,7178420224,137438953472,53936,54767,41104,12832,4848,314,0,0,0.00,0,0,0,0,0,0,0
