sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16077299712,25769803776,21102592,137438953472,128,161,0,128,0,0,0,0,0.00,0,0,0,0,0,0,0
1000000000,0,16156991488,25769803776,105250816,137438953472,736,803,0,736,0,0,0,0,0.00,0,0,0,0,0,0,0
1500000000,0,16190545920,25769803776,140640256,137438953472,992,1073,0,992,0,0,0,0,0.00,0,0,0,0,0,0,0
2000000000,0,16433815552,25769803776,389283840,137438953472,2848,2970,0,2848,288,43,288,43,14.22,0,0,0,0,0,0,0
2500000000,0,16528187392,25769803776,487981056,137438953472,3568,3723,48,3520,304,55,16,12,3.86,0,0,0,0,0,0,0
3000000000,0,16622559232,25769803776,584056832,137438953472,4288,4456,128,4160,592,70,288,15,57.03,0,0,0,0,0,0,0
3500000000,0,16947617792,25769803776,919339008,137438953472,6768,7014,128,6640,592,78,0,8,0.00,0,0,0,0,0,0,0
4000000000,0,17295745024,25769803776,1265893376,137438953472,9424,9658,128,9296,800,95,208,17,7.67,0,0,0,0,0,0,0
4500000000,0,17388019712,25769803776,1355153408,137438953472,10128,10339,160,9968,816,124,16,29,5.63,0,0,0,0,0,0,0
5000000000,0,17526431744,25769803776,1505624064,137438953472,11184,11487,1472,9712,1248,131,432,7,42.94,0,0,0,0,0,0,0
5500000000,0,17664843776,25769803776,1643118592,137438953472,12240,12536,2704,9536,1248,131,0,0,0.00,0,0,0,0,0,0,0
6000000000,0,18059108352,25769803776,2039218176,137438953472,15248,15558,3248,12000,2048,173,800,42,23.63,0,0,0,0,0,0,0
6500000000,0,18149285888,25769803776,2136080384,137438953472,15936,16297,3712,12224,2352,183,304,10,49.11,0,0,0,0,0,0,0
7000000000,0,18277212160,25769803776,2271477760,137438953472,16912,17330,3904,13008,2352,184,0,1,0.00,0,0,0,0,0,0,0
7500000000,0,18509996032,25769803776,2504654848,137438953472,18688,19109,4176,14512,2960,203,608,19,34.72,0,0,0,0,0,0,0
8000000000,0,18696642560,25769803776,2696675328,137438953472,20112,20574,4464,15648,3600,209,640,6,43.33,0,0,0,0,0,0,0
8500000000,0,18883289088,25769803776,2876243968,137438953472,21536,21944,4880,16656,3600,239,0,30,0.00,0,0,0,0,0,0,0
9000000000,0,19042672640,25769803776,3039559680,137438953472,22752,23190,5696,17056,4384,261,784,22,60.31,0,0,0,0,0,0,0
9500000000,0,19281747968,25769803776,3288072192,137438953472,24576,25086,6064,18512,4512,278,128,17,8.57,0,0,0,0,0,0,0
10000000000,0,19413868544,25769803776,3420192768,137438953472,25584,26094,7952,17632,4512,278,0,0,0.00,0,0,0,0,0,0,0
10500000000,0,19541794816,25769803776,3543924736,137438953472,26560,27038,9040,17520,4512,278,0,0,0.00,0,0,0,0,0,0,0
11000000000,0,19667623936,25769803776,3663331328,137438953472,27520,27949,9216,18304,4512,278,0,0,0.00,0,0,0,0,0,0,0
11500000000,0,19789258752,25769803776,3786539008,137438953472,28448,28889,9504,18944,4512,278,0,0,0.00,0,0,0,0,0,0,0
12000000000,0,19908796416,25769803776,3904765952,137438953472,29360,29791,10208,19152,4512,278,0,0,0.00,0,0,0,0,0,0,0
12500000000,0,20019945472,25769803776,4016701440,137438953472,30208,30645,10496,19712,4512,278,0,0,0.00,0,0,0,0,0,0,0
13000000000,0,20122705920,25769803776,4121165824,137438953472,30992,31442,14032,16960,4512,278,0,0,0.00,0,0,0,0,0,0,0
13500000000,0,20214980608,25769803776,4215275520,137438953472,31696,32160,14720,16976,4512,278,0,0,0.00,0,0,0,0,0,0,0
14000000000,0,20300963840,25769803776,4306632704,137438953472,32352,32857,16032,16320,4512,278,0,0,0.00,0,0,0,0,0,0,0
14500000000,0,20386947072,25769803776,4391829504,137438953472,33008,33507,17024,15984,4512,278,0,0,0.00,0,0,0,0,0,0,0
15000000000,0,20462444544,25769803776,4469030912,137438953472,33584,34096,18944,14640,4512,278,0,0,0.00,0,0,0,0,0,0,0
15500000000,0,20540039168,25769803776,4543217664,137438953472,34176,34662,19616,14560,4512,278,0,0,0.00,0,0,0,0,0,0,0
16000000000,0,20602953728,25769803776,4610195456,137438953472,34656,35173,22000,12656,4512,278,0,0,0.00,0,0,0,0,0,0,0
16500000000,0,20672159744,25769803776,4674551808,137438953472,35184,35664,22368,12816,4512,278,0,0,0.00,0,0,0,0,0,0,0
17000000000,0,20726685696,25769803776,4727635968,137438953472,35600,36069,25312,10288,4512,278,0,0,0.00,0,0,0,0,0,0,0
17500000000,0,20777017344,25769803776,4774297600,137438953472,35984,36425,26080,9904,4512,278,0,0,0.00,0,0,0,0,0,0,0
18000000000,0,20812668928,25769803776,4815454208,137438953472,36256,36739,28128,8128,4512,278,0,0,0.00,0,0,0,0,0,0,0
18500000000,0,20844126208,25769803776,4851630080,137438953472,36496,37015,28544,7952,4512,278,0,0,0.00,0,0,0,0,0,0,0
19000000000,0,20883972096,25769803776,4887543808,137438953472,36800,37289,29376,7424,4512,278,0,0,0.00,0,0,0,0,0,0,0
19500000000,0,20919623680,25769803776,4920573952,137438953472,37072,37541,30320,6752,4512,278,0,0,0.00,0,0,0,0,0,0,0
20000000000,0,20948983808,25769803776,4950458368,137438953472,37296,37769,30320,6976,4512,278,0,0,0.00,0,0,0,0,0,0,0
20500000000,0,20978343936,25769803776,4979687424,137438953472,37520,37992,31424,6096,4512,278,0,0,0.00,0,0,0,0,0,0,0
21000000000,0,21001412608,25769803776,5004197888,137438953472,37696,38179,32160,5536,4512,278,0,0,0.00,0,0,0,0,0,0,0
21500000000,0,21022384128,25769803776,5024645120,137438953472,37856,38335,32768,5088,4512,278,0,0,0.00,0,0,0,0,0,0,0
22000000000,0,21041258496,25769803776,5044568064,137438953472,38000,38487,32768,5232,4512,278,0,0,0.00,0,0,0,0,0,0,0
22500000000,0,21064327168,25769803776,5064491008,137438953472,38176,38639,32768,5408,4512,278,0,0,0.00,0,0,0,0,0,0,0
23000000000,0,21083201536,25769803776,5084413952,137438953472,38320,38791,32768,5552,4512,278,0,0,0.00,0,0,0,0,0,0,0
23500000000,0,21102075904,25769803776,5102501888,137438953472,38464,38929,33264,5200,4512,278,0,0,0.00,0,0,0,0,0,0,0
24000000000,0,21116755968,25769803776,5119934464,137438953472,38576,39062,33264,5312,4512,278,0,0,0.00,0,0,0,0,0,0,0
24500000000,0,21133533184,25769803776,5136449536,137438953472,38704,39188,34528,4176,4512,278,0,0,0.00,0,0,0,0,0,0,0
25000000000,0,21150310400,25769803776,5150867456,137438953472,38832,39298,35168,3664,4512,278,0,0,0.00,0,0,0,0,0,0,0
25500000000,0,21158699008,25769803776,5161091072,137438953472,38896,39376,37632,1264,4512,278,0,0,0.00,0,0,0,0,0,0,0
26000000000,0,21162893312,25769803776,5165416448,137438953472,38928,39409,38288,640,4512,278,0,0,0.00,0,0,0,0,0,0,0
26500000000,0,21164990464,25769803776,5167775744,137438953472,38944,39427,38288,656,4512,278,0,0,0.00,0,0,0,0,0,0,0
27000000000,0,21167087616,25769803776,5170135040,137438953472,38960,39445,38288,672,4512,278,0,0,0.00,0,0,0,0,0,0,0
27500000000,0,21169184768,25769803776,5172625408,137438953472,38976,39464,38288,688,4512,278,0,0,0.00,0,0,0,0,0,0,0
