sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16075202560,25769803776,0,137438953472,112,139,0,112,0,0,0,0,0.00,0,0,0,0,0,0,0
1000000000,0,16343638016,25769803776,0,137438953472,2160,2220,0,2160,0,7,0,7,0.00,0,0,0,0,0,0,0
1500000000,0,16362512384,25769803776,0,137438953472,2304,2367,0,2304,0,7,0,0,0.00,0,0,0,0,0,0,0
2000000000,0,16616267776,25769803776,0,137438953472,4240,4399,48,4192,0,17,0,10,0.00,0,0,0,0,0,0,0
2500000000,0,16951812096,25769803776,0,137438953472,6800,6969,48,6752,0,28,0,11,0.00,0,0,0,0,0,0,0
3000000000,0,17224441856,25769803776,0,137438953472,8880,9098,48,8832,0,28,0,0,0.00,0,0,0,0,0,0,0
3500000000,0,17379631104,25769803776,0,137438953472,10064,10318,80,9984,0,37,0,9,0.00,0,0,0,0,0,0,0
4000000000,0,18027651072,25769803776,0,137438953472,15008,15266,80,14928,16,50,16,13,0.33,0,0,0,0,0,0,0
4500000000,0,18042331136,25769803776,0,137438953472,15120,15473,544,14576,16,50,0,0,0.00,0,0,0,0,0,0,0
5000000000,0,18310766592,25769803776,0,137438953472,17168,17536,544,16624,16,51,0,1,0.00,0,0,0,0,0,0,0
5500000000,0,18390458368,25769803776,0,137438953472,17776,18109,544,17232,16,54,0,3,0.00,0,0,0,0,0,0,0
6000000000,0,18621145088,25769803776,0,137438953472,19536,20042,2576,16960,16,63,0,9,0.00,0,0,0,0,0,0,0
6500000000,0,18818277376,25769803776,0,137438953472,21040,21464,2576,18464,16,65,0,2,0.00,0,0,0,0,0,0,0
7000000000,0,18962980864,25769803776,0,137438953472,22144,22600,2832,19312,16,66,0,1,0.00,0,0,0,0,0,0,0
7500000000,0,19158016000,25769803776,0,137438953472,23632,24132,2832,20800,16,74,0,8,0.00,0,0,0,0,0,0,0
8000000000,0,19300622336,25769803776,0,137438953472,24720,25324,3152,21568,16,78,0,4,0.00,0,0,0,0,0,0,0
8500000000,0,19474685952,25769803776,0,137438953472,26048,26687,3248,22800,16,87,0,9,0.00,0,0,0,0,0,0,0
9000000000,0,19636166656,25769803776,0,137438953472,27280,27913,3536,23744,16,92,0,5,0.00,0,0,0,0,0,0,0
9500000000,0,19820716032,25769803776,0,137438953472,28688,29345,3728,24960,16,108,0,16,0.00,0,0,0,0,0,0,0
10000000000,0,19998973952,25769803776,0,137438953472,30048,30733,3856,26192,16,121,0,13,0.00,0,0,0,0,0,0,0
10500000000,0,20282089472,25769803776,0,137438953472,32208,33022,4320,27888,16,130,0,9,0.00,0,0,0,0,0,0,0
11000000000,0,20481318912,25769803776,0,137438953472,33728,34487,4304,29424,16,132,0,2,0.00,0,0,0,0,0,0,0
11500000000,0,20928012288,25769803776,0,137438953472,37136,37911,4304,32832,240,160,224,28,6.83,0,0,0,0,0,0,0
12000000000,0,21240487936,25769803776,0,137438953472,39520,40358,4528,34992,272,172,32,12,1.47,0,0,0,0,0,0,0
12500000000,0,21408260096,25769803776,0,137438953472,40800,41591,4512,36288,272,181,0,9,0.00,0,0,0,0,0,0,0
13000000000,0,21641043968,25769803776,0,137438953472,42576,43466,5008,37568,272,191,0,10,0.00,0,0,0,0,0,0,0
13500000000,0,21894799360,25769803776,0,137438953472,44512,45341,5248,39264,272,196,0,5,0.00,0,0,0,0,0,0,0
14000000000,0,22547013632,25769803776,0,137438953472,49488,50425,6432,43056,272,228,0,32,0.00,0,0,0,0,0,0,0
14500000000,0,22565888000,25769803776,0,137438953472,49632,50558,6560,43072,272,230,0,2,0.00,0,0,0,0,0,0,0
15000000000,0,22987415552,25769803776,0,137438953472,52848,53900,7376,45472,1024,263,752,33,22.23,0,0,0,0,0,0,0
15500000000,0,23220199424,25769803776,0,137438953472,54624,55580,7376,47248,1024,268,0,5,0.00,0,0,0,0,0,0,0
16000000000,0,23534772224,25769803776,0,137438953472,57024,58108,7472,49552,1024,283,0,15,0.00,0,0,0,0,0,0,0
16500000000,0,23710932992,25769803776,0,137438953472,58368,59425,10608,47760,1056,294,32,11,4.86,0,0,0,0,0,0,0
17000000000,0,24029700096,25769803776,0,137438953472,60800,61847,10624,50176,1056,313,0,19,0.00,0,0,0,0,0,0,0
17500000000,0,24382021632,25769803776,0,137438953472,63488,64556,14112,49376,1056,317,0,4,0.00,0,0,0,0,0,0,0
18000000000,0,24614805504,25769803776,0,137438953472,65264,66416,14112,51152,1056,338,0,21,0.00,0,0,0,0,0,0,0
18500000000,0,24799354880,25769803776,0,137438953472,66672,67807,14768,51904,1072,341,16,3,3.15,0,0,0,0,0,0,0
19000000000,0,24986001408,25769803776,0,137438953472,68096,69287,16768,51328,1072,343,0,2,0.00,0,0,0,0,0,0,0
19500000000,0,25426403328,25769803776,0,137438953472,71456,72613,18432,53024,1600,373,528,30,19.80,0,0,0,0,0,0,0
20000000000,0,25579495424,25769803776,0,137438953472,72624,73842,20336,52288,1760,389,160,16,20.92,0,0,0,0,0,0,0
20500000000,0,25751461888,25769803776,0,137438953472,73936,75306,20992,52944,1760,399,0,10,0.00,0,0,0,0,0,0,0
