sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16060522496,25769803776,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1000000000,0,16060522496,25769803776,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1500000000,0,16102465536,25769803776,0,137438953472,320,0,0,320,0,0,0,0,0.00,0,0,0,0,0,0,0
2000000000,0,16131825664,25769803776,0,137438953472,544,0,0,544,0,0,0,0,0.00,0,0,0,0,0,0,0
2500000000,0,16222003200,25769803776,0,137438953472,1232,0,64,1168,0,0,0,0,0.00,0,0,0,0,0,0,0
3000000000,0,16654016512,25769803776,0,137438953472,4528,0,64,4464,48,0,48,0,1.46,0,0,0,0,0,0,0
3500000000,0,16805011456,25769803776,0,137438953472,5680,0,64,5616,48,0,0,0,0.00,0,0,0,0,0,0,0
4000000000,0,16895188992,25769803776,0,137438953472,6368,0,112,6256,176,0,128,0,49.42,0,0,0,0,0,0,0
4500000000,0,17127972864,25769803776,0,137438953472,8144,0,160,7984,192,0,16,0,1.21,0,0,0,0,0,0,0
5000000000,0,17255899136,25769803776,0,137438953472,9120,0,160,8960,192,0,0,0,0.00,0,0,0,0,0,0,0
5500000000,0,17369145344,25769803776,0,137438953472,9984,0,320,9664,192,0,0,0,0.00,0,0,0,0,0,0,0
6000000000,0,17463517184,25769803776,0,137438953472,10704,0,640,10064,192,0,0,0,0.00,0,0,0,0,0,0,0
6500000000,0,17545306112,25769803776,0,137438953472,11328,0,2464,8864,192,0,0,0,0.00,0,0,0,0,0,0,0
7000000000,0,17629192192,25769803776,0,137438953472,11968,0,3504,8464,192,0,0,0,0.00,0,0,0,0,0,0,0
7500000000,0,17715175424,25769803776,0,137438953472,12624,0,3952,8672,192,0,0,0,0.00,0,0,0,0,0,0,0
8000000000,0,17796964352,25769803776,0,137438953472,13248,0,4256,8992,192,0,0,0,0.00,0,0,0,0,0,0,0
8500000000,0,17866170368,25769803776,0,137438953472,13776,0,4256,9520,192,0,0,0,0.00,0,0,0,0,0,0,0
9000000000,0,17945862144,25769803776,0,137438953472,14384,0,4384,10000,192,0,0,0,0.00,0,0,0,0,0,0,0
9500000000,0,18021359616,25769803776,0,137438953472,14960,0,4832,10128,192,0,0,0,0.00,0,0,0,0,0,0,0
10000000000,0,18084274176,25769803776,0,137438953472,15440,0,6816,8624,192,0,0,0,0.00,0,0,0,0,0,0,0
10500000000,0,18140897280,25769803776,0,137438953472,15872,0,7312,8560,192,0,0,0,0.00,0,0,0,0,0,0,0
11000000000,0,18193326080,25769803776,0,137438953472,16272,0,8880,7392,192,0,0,0,0.00,0,0,0,0,0,0,0
11500000000,0,18231074816,25769803776,0,137438953472,16560,0,9152,7408,192,0,0,0,0.00,0,0,0,0,0,0,0
12000000000,0,18264629248,25769803776,0,137438953472,16816,0,11488,5328,192,0,0,0,0.00,0,0,0,0,0,0,0
12500000000,0,18293989376,25769803776,0,137438953472,17040,0,12096,4944,192,0,0,0,0.00,0,0,0,0,0,0,0
13000000000,0,18323349504,25769803776,0,137438953472,17264,0,12720,4544,192,0,0,0,0.00,0,0,0,0,0,0,0
13500000000,0,18350612480,25769803776,0,137438953472,17472,0,12720,4752,192,0,0,0,0.00,0,0,0,0,0,0,0
14000000000,0,18369486848,25769803776,0,137438953472,17616,0,12720,4896,192,0,0,0,0.00,0,0,0,0,0,0,0
14500000000,0,18390458368,25769803776,0,137438953472,17776,0,13104,4672,192,0,0,0,0.00,0,0,0,0,0,0,0
15000000000,0,18409332736,25769803776,0,137438953472,17920,0,14704,3216,192,0,0,0,0.00,0,0,0,0,0,0,0
15500000000,0,18430304256,25769803776,0,137438953472,18080,0,14704,3376,192,0,0,0,0.00,0,0,0,0,0,0,0
16000000000,0,18449178624,25769803776,0,137438953472,18224,0,14704,3520,192,0,0,0,0.00,0,0,0,0,0,0,0
16500000000,0,18461761536,25769803776,0,137438953472,18320,0,15760,2560,192,0,0,0,0.00,0,0,0,0,0,0,0
17000000000,0,18470150144,25769803776,0,137438953472,18384,0,16240,2144,192,0,0,0,0.00,0,0,0,0,0,0,0
17500000000,0,18480635904,25769803776,0,137438953472,18464,0,16240,2224,192,0,0,0,0.00,0,0,0,0,0,0,0
18000000000,0,18491121664,25769803776,0,137438953472,18544,0,16800,1744,192,0,0,0,0.00,0,0,0,0,0,0,0
18500000000,0,18499510272,25769803776,0,137438953472,18608,0,16800,1808,192,0,0,0,0.00,0,0,0,0,0,0,0
19000000000,0,18503704576,25769803776,0,137438953472,18640,0,17408,1232,192,0,0,0,0.00,0,0,0,0,0,0,0
19500000000,0,18507898880,25769803776,0,137438953472,18672,0,17408,1264,192,0,0,0,0.00,0,0,0,0,0,0,0
20000000000,0,18512093184,25769803776,0,137438953472,18704,0,17408,1296,192,0,0,0,0.00,0,0,0,0,0,0,0
20500000000,0,18726002688,25769803776,0,137438953472,20336,0,17408,2928,192,0,0,0,0.00,0,0,0,0,0,0,0
21000000000,0,18736488448,25769803776,0,137438953472,20416,0,19664,752,192,0,0,0,0.00,0,0,0,0,0,0,0
21500000000,0,19086712832,25769803776,0,137438953472,23088,0,19664,3424,192,0,0,0,0.00,0,0,0,0,0,0,0
22000000000,0,19344662528,25769803776,0,137438953472,25056,0,19648,5408,272,0,80,0,4.03,0,0,0,0,0,0,0
22500000000,0,19485171712,25769803776,0,137438953472,26128,0,19648,6480,288,0,16,0,1.70,0,0,0,0,0,0,0
23000000000,0,19537600512,25769803776,0,137438953472,26528,0,19712,6816,288,0,0,0,0.00,0,0,0,0,0,0,0
23500000000,0,19822813184,25769803776,0,137438953472,28704,0,19712,8992,288,0,0,0,0.00,0,0,0,0,0,0,0
24000000000,0,20095442944,25769803776,0,137438953472,30784,0,20192,10592,448,0,160,0,8.06,0,0,0,0,0,0,0
24500000000,0,20170940416,25769803776,0,137438953472,31360,0,20304,11056,1040,0,592,0,78.83,0,0,0,0,0,0,0
25000000000,0,20311449600,25769803776,0,137438953472,32432,0,20496,11936,1072,0,32,0,6.35,0,0,0,0,0,0,0
25500000000,0,20414210048,25769803776,0,137438953472,33216,0,22544,10672,1072,0,0,0,0.00,0,0,0,0,0,0,0
26000000000,0,20500193280,25769803776,0,137438953472,33872,0,24224,9648,1072,0,0,0,0.00,0,0,0,0,0,0,0
26500000000,0,20584079360,25769803776,0,137438953472,34512,0,24224,10288,1072,0,0,0,0.00,0,0,0,0,0,0,0
27000000000,0,20670062592,25769803776,0,137438953472,35168,0,25856,9312,1072,0,0,0,0.00,0,0,0,0,0,0,0
27500000000,0,20747657216,25769803776,0,137438953472,35760,0,25856,9904,1072,0,0,0,0.00,0,0,0,0,0,0,0
28000000000,0,20823154688,25769803776,0,137438953472,36336,0,27296,9040,1072,0,0,0,0.00,0,0,0,0,0,0,0
28500000000,0,20902846464,25769803776,0,137438953472,36944,0,27424,9520,1072,0,0,0,0.00,0,0,0,0,0,0,0
29000000000,0,20972052480,25769803776,0,137438953472,37472,0,29504,7968,1072,0,0,0,0.00,0,0,0,0,0,0,0
29500000000,0,21030772736,25769803776,0,137438953472,37920,0,30400,7520,1072,0,0,0,0.00,0,0,0,0,0,0,0
30000000000,0,21089492992,25769803776,0,137438953472,38368,0,30400,7968,1072,0,0,0,0.00,0,0,0,0,0,0,0
30500000000,0,21146116096,25769803776,0,137438953472,38800,0,31408,7392,1072,0,0,0,0.00,0,0,0,0,0,0,0
31000000000,0,21198544896,25769803776,0,137438953472,39200,0,31648,7552,1072,0,0,0,0.00,0,0,0,0,0,0,0
31500000000,0,21242585088,25769803776,0,137438953472,39536,0,33568,5968,1072,0,0,0,0.00,0,0,0,0,0,0,0
32000000000,0,21286625280,25769803776,0,137438953472,39872,0,34272,5600,1072,0,0,0,0.00,0,0,0,0,0,0,0
32500000000,0,21318082560,25769803776,0,137438953472,40112,0,35280,4832,1072,0,0,0,0.00,0,0,0,0,0,0,0
33000000000,0,21353734144,25769803776,0,137438953472,40384,0,35584,4800,1072,0,0,0,0.00,0,0,0,0,0,0,0
33500000000,0,21387288576,25769803776,0,137438953472,40640,0,35584,5056,1072,0,0,0,0.00,0,0,0,0,0,0,0
34000000000,0,21412454400,25769803776,0,137438953472,40832,0,35952,4880,1072,0,0,0,0.00,0,0,0,0,0,0,0
34500000000,0,21435523072,25769803776,0,137438953472,41008,0,36912,4096,1072,0,0,0,0.00,0,0,0,0,0,0,0
35000000000,0,21450203136,25769803776,0,137438953472,41120,0,37760,3360,1072,0,0,0,0.00,0,0,0,0,0,0,0
35500000000,0,21469077504,25769803776,0,137438953472,41264,0,38176,3088,1072,0,0,0,0.00,0,0,0,0,0,0,0
36000000000,0,21487951872,25769803776,0,137438953472,41408,0,38176,3232,1072,0,0,0,0.00,0,0,0,0,0,0,0
36500000000,0,21496340480,25769803776,0,137438953472,41472,0,39136,2336,1072,0,0,0,0.00,0,0,0,0,0,0,0
37000000000,0,21506826240,25769803776,0,137438953472,41552,0,39136,2416,1072,0,0,0,0.00,0,0,0,0,0,0,0
37500000000,0,21515214848,25769803776,0,137438953472,41616,0,39136,2480,1072,0,0,0,0.00,0,0,0,0,0,0,0
38000000000,0,21525700608,25769803776,0,137438953472,41696,0,39136,2560,1072,0,0,0,0.00,0,0,0,0,0,0,0
38500000000,0,21538283520,25769803776,0,137438953472,41792,0,40144,1648,1072,0,0,0,0.00,0,0,0,0,0,0,0
39000000000,0,21544574976,25769803776,0,137438953472,41840,0,40768,1072,1072,0,0,0,0.00,0,0,0,0,0,0,0
39500000000,0,21548769280,25769803776,0,137438953472,41872,0,40768,1104,1072,0,0,0,0.00,0,0,0,0,0,0,0
40000000000,0,21552963584,25769803776,0,137438953472,41904,0,41328,576,1072,0,0,0,0.00,0,0,0,0,0,0,0
40500000000,0,21613780992,25769803776,0,137438953472,42368,0,41152,1216,1248,0,176,0,28.76,0,0,0,0,0,0,0
41000000000,0,21672501248,25769803776,0,137438953472,42816,0,39840,2976,2848,0,1600,0,82.14,0,0,0,0,0,0,0
41500000000,0,21710249984,25769803776,0,137438953472,43104,0,39840,3264,2848,0,0,0,0.00,0,0,0,0,0,0,0
42000000000,0,21911576576,25769803776,0,137438953472,44640,0,39840,4800,2848,0,0,0,0.00,0,0,0,0,0,0,0
42500000000,0,22003851264,25769803776,0,137438953472,45344,0,39840,5504,2848,0,0,0,0.00,0,0,0,0,0,0,0
43000000000,0,22190497792,25769803776,0,137438953472,46768,0,40512,6256,2896,0,48,0,3.88,0,0,0,0,0,0,0
43500000000,0,22354075648,25769803776,0,137438953472,48016,0,40512,7504,3040,0,144,0,14.92,0,0,0,0,0,0,0
44000000000,0,22536527872,25769803776,0,137438953472,49408,0,40320,9088,4000,0,960,0,47.34,0,0,0,0,0,0,0
44500000000,0,22624608256,25769803776,0,137438953472,50080,0,40912,9168,4000,0,0,0,0.00,0,0,0,0,0,0,0
45000000000,0,22859489280,25769803776,0,137438953472,51872,0,40064,11808,4848,0,848,0,36.39,0,0,0,0,0,0,0
45500000000,0,22949666816,25769803776,0,137438953472,52560,0,40352,12208,4848,0,0,0,0.00,0,0,0,0,0,0,0
46000000000,0,23037747200,25769803776,0,137438953472,53232,0,40352,12880,4848,0,0,0,0.00,0,0,0,0,0,0,0
46500000000,0,23121633280,25769803776,0,137438953472,53872,0,41104,12768,4848,0,0,0,0.00,0,0,0,0,0,0,0
47000000000,0,23207616512,25769803776,0,137438953472,54528,0,45040,9488,4848,0,0,0,0.00,0,0,0,0,0,0,0
47500000000,0,23281016832,25769803776,0,137438953472,55088,0,45136,9952,4848,0,0,0,0.00,0,0,0,0,0,0,0
48000000000,0,23350222848,25769803776,0,137438953472,55616,0,45824,9792,4848,0,0,0,0.00,0,0,0,0,0,0,0
48500000000,0,23415234560,25769803776,0,137438953472,56112,0,46000,10112,4848,0,0,0,0.00,0,0,0,0,0,0,0
49000000000,0,23480246272,25769803776,0,137438953472,56608,0,46496,10112,4848,0,0,0,0.00,0,0,0,0,0,0,0
