sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16075202560,25769803776,0,137438953472,112,0,0,112,0,0,0,0,0.00,0,0,0,0,0,0,0
1000000000,0,16343638016,25769803776,0,137438953472,2160,0,0,2160,0,0,0,0,0.00,0,0,0,0,0,0,0
1500000000,0,16362512384,25769803776,0,137438953472,2304,0,0,2304,0,0,0,0,0.00,0,0,0,0,0,0,0
2000000000,0,16616267776,25769803776,0,137438953472,4240,0,48,4192,0,0,0,0,0.00,0,0,0,0,0,0,0
2500000000,0,16951812096,25769803776,0,137438953472,6800,0,48,6752,0,0,0,0,0.00,0,0,0,0,0,0,0
3000000000,0,17224441856,25769803776,0,137438953472,8880,0,48,8832,0,0,0,0,0.00,0,0,0,0,0,0,0
3500000000,0,17379631104,25769803776,0,137438953472,10064,0,80,9984,0,0,0,0,0.00,0,0,0,0,0,0,0
4000000000,0,18036039680,25769803776,0,137438953472,15072,0,544,14528,16,0,16,0,0.32,0,0,0,0,0,0,0
4500000000,0,18038136832,25769803776,0,137438953472,15088,0,544,14544,16,0,0,0,0.00,0,0,0,0,0,0,0
5000000000,0,18308669440,25769803776,0,137438953472,17152,0,544,16608,16,0,0,0,0.00,0,0,0,0,0,0,0
5500000000,0,18379972608,25769803776,0,137438953472,17696,0,544,17152,16,0,0,0,0.00,0,0,0,0,0,0,0
6000000000,0,18614853632,25769803776,0,137438953472,19488,0,2576,16912,16,0,0,0,0.00,0,0,0,0,0,0,0
6500000000,0,18809888768,25769803776,0,137438953472,20976,0,2576,18400,16,0,0,0,0.00,0,0,0,0,0,0,0
7000000000,0,18956689408,25769803776,0,137438953472,22096,0,2832,19264,16,0,0,0,0.00,0,0,0,0,0,0,0
7500000000,0,19158016000,25769803776,0,137438953472,23632,0,2832,20800,16,0,0,0,0.00,0,0,0,0,0,0,0
8000000000,0,19292233728,25769803776,0,137438953472,24656,0,3152,21504,16,0,0,0,0.00,0,0,0,0,0,0,0
8500000000,0,19472588800,25769803776,0,137438953472,26032,0,3248,22784,16,0,0,0,0.00,0,0,0,0,0,0,0
9000000000,0,19634069504,25769803776,0,137438953472,27264,0,3536,23728,16,0,0,0,0.00,0,0,0,0,0,0,0
9500000000,0,19818618880,25769803776,0,137438953472,28672,0,3728,24944,16,0,0,0,0.00,0,0,0,0,0,0,0
10000000000,0,19996876800,25769803776,0,137438953472,30032,0,3856,26176,16,0,0,0,0.00,0,0,0,0,0,0,0
10500000000,0,20265312256,25769803776,0,137438953472,32080,0,4320,27760,16,0,0,0,0.00,0,0,0,0,0,0,0
11000000000,0,20470833152,25769803776,0,137438953472,33648,0,4304,29344,16,0,0,0,0.00,0,0,0,0,0,0,0
11500000000,0,20913332224,25769803776,0,137438953472,37024,0,4304,32720,240,0,224,0,6.83,0,0,0,0,0,0,0
12000000000,0,21227905024,25769803776,0,137438953472,39424,0,4304,35120,272,0,32,0,1.47,0,0,0,0,0,0,0
12500000000,0,21387288576,25769803776,0,137438953472,40640,0,4512,36128,272,0,0,0,0.00,0,0,0,0,0,0,0
13000000000,0,21630558208,25769803776,0,137438953472,42496,0,4752,37744,272,0,0,0,0.00,0,0,0,0,0,0,0
13500000000,0,21875924992,25769803776,0,137438953472,44368,0,5072,39296,272,0,0,0,0.00,0,0,0,0,0,0,0
14000000000,0,22532333568,25769803776,0,137438953472,49376,0,5328,44048,272,0,0,0,0.00,0,0,0,0,0,0,0
14500000000,0,22551207936,25769803776,0,137438953472,49520,0,6432,43088,272,0,0,0,0.00,0,0,0,0,0,0,0
15000000000,0,22974832640,25769803776,0,137438953472,52752,0,7024,45728,1024,0,752,0,22.23,0,0,0,0,0,0,0
15500000000,0,23192936448,25769803776,0,137438953472,54416,0,7376,47040,1024,0,0,0,0.00,0,0,0,0,0,0,0
16000000000,0,23517995008,25769803776,0,137438953472,56896,0,7472,49424,1024,0,0,0,0.00,0,0,0,0,0,0,0
16500000000,0,23700447232,25769803776,0,137438953472,58288,0,10608,47680,1056,0,32,0,4.86,0,0,0,0,0,0,0
17000000000,0,24017117184,25769803776,0,137438953472,60704,0,10624,50080,1056,0,0,0,0.00,0,0,0,0,0,0,0
17500000000,0,24340078592,25769803776,0,137438953472,63168,0,14112,49056,1056,0,0,0,0.00,0,0,0,0,0,0,0
18000000000,0,24591736832,25769803776,0,137438953472,65088,0,14112,50976,1056,0,0,0,0.00,0,0,0,0,0,0,0
18500000000,0,24755314688,25769803776,0,137438953472,66336,0,14320,52016,1072,0,16,0,3.15,0,0,0,0,0,0,0
19000000000,0,24994390016,25769803776,0,137438953472,68160,0,15232,52928,1072,0,0,0,0.00,0,0,0,0,0,0,0
19500000000,0,25361391616,25769803776,0,137438953472,70960,0,18160,52800,1600,0,528,0,22.95,0,0,0,0,0,0,0
20000000000,0,25533358080,25769803776,0,137438953472,72272,0,18272,54000,1760,0,160,0,15.84,0,0,0,0,0,0,0
20500000000,0,25717907456,25769803776,0,137438953472,73680,0,20656,53024,1760,0,0,0,0.00,0,0,0,0,0,0,0
