sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16080445440,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1000000000,0,16357269504,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1500000000,0,16379289600,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
2000000000,0,16647725056,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
2500000000,0,16989560832,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
3000000000,0,17266384896,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
3500000000,0,17422622720,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
4000000000,0,18036039680,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
4500000000,0,18038136832,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
5000000000,0,18318106624,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
5500000000,0,18388361216,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
6000000000,0,18381021184,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
6500000000,0,18567667712,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
7000000000,0,18685108224,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
7500000000,0,18900066304,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
8000000000,0,19004923904,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
8500000000,0,19181084672,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
9000000000,0,19304816640,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
9500000000,0,19326836736,19327352832,8388608,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,8388608,0,0,0,0
10000000000,0,19326836736,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,15728640,15728640,0,0,0
10500000000,0,19326836736,19327352832,11534336,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,27262976,15728640,0,0,0
11000000000,0,19326836736,19327352832,20971520,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,36700160,15728640,0,0,0
11500000000,0,19326836736,19327352832,53477376,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,69206016,15728640,0,0,0
12000000000,0,19326836736,19327352832,94371840,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,110100480,15728640,0,0,0
12500000000,0,19326836736,19327352832,94371840,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,120586240,26214400,0,0,0
13000000000,0,19326836736,19327352832,106954752,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,133169152,26214400,0,0,0
13500000000,0,19326836736,19327352832,108003328,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,157286400,49283072,0,0,0
14000000000,0,19326836736,19327352832,4194304,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,161480704,157286400,0,0,0
14500000000,0,19326836736,19327352832,7340032,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,164626432,157286400,0,0,0
15000000000,0,19326836736,19327352832,62914560,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,220200960,157286400,0,0,0
15500000000,0,19326836736,19327352832,28311552,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,243269632,214958080,0,0,0
16000000000,0,19326836736,19327352832,75497472,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,290455552,214958080,0,0,0
16500000000,0,19326836736,19327352832,87031808,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,301989888,214958080,0,0,0
17000000000,0,19326836736,19327352832,127926272,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,342884352,214958080,0,0,0
17500000000,0,19312156672,19327352832,127926272,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,377487360,249561088,0,0,0
18000000000,0,19304816640,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,385875968,385875968,0,0,0
18500000000,0,19326836736,19327352832,16777216,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,402653184,385875968,0,0,0
19000000000,0,19326836736,19327352832,24117248,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,409993216,385875968,0,0,0
19500000000,0,19326836736,19327352832,28311552,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,414187520,385875968,0,0,0
20000000000,0,19309010944,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,418381824,418381824,0,0,0
20500000000,0,19326836736,19327352832,6291456,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,424673280,418381824,0,0,0
21000000000,0,19227222016,19327352832,132120576,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,550502400,418381824,0,0,0
21500000000,0,19326836736,19327352832,4194304,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,554696704,550502400,0,0,0
22000000000,0,19307962368,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,557842432,557842432,0,0,0
22500000000,0,19226173440,19327352832,117440512,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,675282944,557842432,0,0,0
23000000000,0,19263922176,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,675282944,675282944,0,0,0
23500000000,0,19259727872,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,675282944,675282944,0,0,0
24000000000,0,19326836736,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,675282944,675282944,0,0,0
24500000000,0,19326836736,19327352832,96468992,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,771751936,675282944,0,0,0
25000000000,0,19282796544,19327352832,96468992,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,907018240,810549248,0,0,0
25500000000,0,19231416320,19327352832,96468992,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,1044381696,947912704,0,0,0
26000000000,0,19215687680,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,1044381696,1044381696,0,0,0
26500000000,0,19294330880,19327352832,0,137438953472,0,0,0,0,0,0,0,0,0.00,0,0,1044381696,1044381696,0,0,0
