sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,35315531776,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,35395485696,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,35447914496,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,35599958016,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,35729719296,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,35828023296,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,35939434496,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,36090167296,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,36222550016,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5000000000,0,36339204096,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5500000000,0,36470276096,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6000000000,0,36506976256,36507222016,11796480,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,11796480,0,0,0,0,0,0
6500000000,0,36506976256,36507222016,23592960,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,23592960,0,0,0,0,0,0
7000000000,0,36506976256,36507222016,49807360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,49807360,0,0,0,0,0,0
7500000000,0,36506976256,36507222016,64225280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,64225280,0,0,0,0,0,0
8000000000,0,36506976256,36507222016,96993280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,96993280,0,0,0,0,0,0
8500000000,0,36506976256,36507222016,114032640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,114032640,0,0,0,0,0,0
9000000000,0,36506976256,36507222016,148111360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,148111360,0,0,0,0,0,0
9500000000,0,36506976256,36507222016,165150720,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165150720,0,0,0,0,0,0
10000000000,0,36506976256,36507222016,199229440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,0,0,0,0,0,0
10500000000,0,36506976256,36507222016,217579520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,217579520,0,0,0,0,0,0
11000000000,0,36506976256,36507222016,254279680,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,0,0,0,0,0,0
11500000000,0,36506976256,36507222016,235929600,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,18350080,0,0,0,0,0
12000000000,0,36506976256,36507222016,199229440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,55050240,0,0,0,0,0
12500000000,0,36506976256,36507222016,182190080,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,72089600,0,0,0,0,0
13000000000,0,36503044096,36507222016,96993280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,157286400,0,0,0,0,0
13500000000,0,36506976256,36507222016,64225280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,190054400,0,0,0,0,0
14000000000,0,36497801216,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,254279680,0,0,0,0,0
14500000000,0,36506976256,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,254279680,0,0,0,0,0
15000000000,0,36506976256,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,254279680,254279680,0,0,0,0,0
15500000000,0,36506976256,36507222016,23592960,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,277872640,254279680,0,0,0,0,0
16000000000,0,36506976256,36507222016,35389440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,289669120,254279680,0,0,0,0,0
