instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit
0,2,meta-llama/Llama-3.1-70B,10,26,100000000,434419972,334419972,465941,21331502,20872564,"[20524563, 20524563, 21332127, 20574916, 20909438, 20786495, 20786495, 21060920, 20832422, 20915441, 20865938, 20882430, 20911725, 20911725, 21269272]",0,0,0
0,7,meta-llama/Llama-3.1-70B,5,17,350000000,600833962,250833962,444820,21327250,20864246,"[20911725, 20911725, 21269272, 20911725, 21220720, 20363986, 20363986, 21340178, 20446196, 21261516, 20505683]",0,0,0
0,0,meta-llama/Llama-3.1-70B,11,43,0,664571840,664571840,1,20373089,20780604,"[19445079, 19445079, 20924388, 20278306, 20865561, 20524563, 20524563, 21332127, 20574916, 20909438, 20786495, 20786495, 21060920, 20832422, 20915441, 20865938, 20882430, 20911725, 20911725, 21269272, 20911725, 21220720, 20363986, 20363986, 21340178, 20446196, 21261516, 20505683, 22726512, 20505683, 20505683]",0,0,0
0,4,meta-llama/Llama-3.1-70B,9,33,200000000,706469998,506469998,4287671,25197109,20924908,"[20786495, 20786495, 21060920, 20832422, 20915441, 20865938, 20882430, 20911725, 20911725, 21269272, 20911725, 21220720, 20363986, 20363986, 21340178, 20446196, 21261516, 20505683, 22726512, 20505683, 20505683, 21392475, 20505683]",0,0,0
0,6,meta-llama/Llama-3.1-70B,7,27,300000000,727731514,427731514,8663441,29578882,20955401,"[20865938, 20882430, 20911725, 20911725, 21269272, 20911725, 21220720, 20363986, 20363986, 21340178, 20446196, 21261516, 20505683, 22726512, 20505683, 20505683, 21392475, 20505683, 21261516]",0,0,0
0,9,meta-llama/Llama-3.1-70B,11,29,450000000,833621212,383621212,5331697,26552417,21004046,"[20363986, 20363986, 21340178, 20446196, 21261516, 20505683, 22726512, 20505683, 20505683, 21392475, 20505683, 21261516, 20446196, 20446196, 22726512, 20505683, 21765111]",0,0,0
0,10,meta-llama/Llama-3.1-70B,10,32,500000000,980102852,480102852,17280389,38620567,21022965,"[20446196, 21261516, 20505683, 22726512, 20505683, 20505683, 21392475, 20505683, 21261516, 20446196, 20446196, 22726512, 20505683, 21765111, 20505683, 21195974, 20575398, 20575398, 21462942, 20616632, 21549613]",0,0,0
0,8,meta-llama/Llama-3.1-70B,12,40,400000000,1000719484,600719484,13150700,34419972,20974056,"[20911725, 21220720, 20363986, 20363986, 21340178, 20446196, 21261516, 20505683, 22726512, 20505683, 20505683, 21392475, 20505683, 21261516, 20446196, 20446196, 22726512, 20505683, 21765111, 20505683, 21195974, 20575398, 20575398, 21462942, 20616632, 21549613, 20616632]",0,0,0
0,14,meta-llama/Llama-3.1-70B,8,22,700000000,1000719484,300719484,6469998,27731514,20999074,"[20446196, 20446196, 22726512, 20505683, 21765111, 20505683, 21195974, 20575398, 20575398, 21462942, 20616632, 21549613, 20616632]",0,0,0
0,11,meta-llama/Llama-3.1-70B,8,30,550000000,1021225167,471225167,9066763,30328279,20995089,"[20505683, 22726512, 20505683, 20505683, 21392475, 20505683, 21261516, 20446196, 20446196, 22726512, 20505683, 21765111, 20505683, 21195974, 20575398, 20575398, 21462942, 20616632, 21549613, 20616632, 20505683]",0,0,0
