instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit
0,9,meta-llama/Llama-3.1-70B,70,71,2026970074,2087919879,60949805,20084700,60949805,0,[],0,0,0
0,26,meta-llama/Llama-3.1-70B,8,25,3250691133,3708365428,457674295,14071566,36300246,26335878,"[21567930, 21567930, 82018727, 21579982, 24776834, 21694746, 21694746, 21694746, 22431299, 31577037, 21795012, 21795012, 21795012, 21795012, 21795012, 21795012]",0,0,0
0,15,meta-llama/Llama-3.1-70B,12,52,2622246507,3730126983,1107880476,55675792,78892187,26384315,"[20776664, 20776664, 21564585, 21012673, 21012673, 23114981, 36467527, 21197006, 21197006, 21197006, 23233592, 100456203, 27063562, 32672005, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22752342, 22228680, 21567930, 21567930, 82018727, 21579982, 24776834, 21694746, 21694746, 21694746, 22431299, 31577037, 21795012, 21795012, 21795012, 21795012, 21795012, 21795012, 21761555]",0,0,0
0,2,meta-llama/Llama-3.1-70B,30,128,1479613520,3838536768,2358923248,2935986,24758772,24063551,"[20526323, 20526323, 20526323, 20526323, 21029824, 21294656, 22104379, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20960902, 20913325, 20913325, 20913325, 20913325, 22768135, 20366546, 20366546, 20366546, 20366546, 20366546, 40865105, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 25368092, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 21394902, 92969985, 23216395, 20776664, 20776664, 21564585, 21012673, 21012673, 23114981, 36467527, 21197006, 21197006, 21197006, 23233592, 100456203, 27063562, 32672005, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22752342, 22228680, 21567930, 21567930, 82018727, 21579982, 24776834, 21694746, 21694746, 21694746, 22431299, 31577037, 21795012, 21795012, 21795012, 21795012, 21795012, 21795012, 21761555, 21681957, 21681957, 21681957, 21681957, 21681957]",0,0,0
0,31,meta-llama/Llama-3.1-70B,23,37,3529630331,3860998300,331367969,16387988,47965025,21800226,"[21795012, 21795012, 21795012, 21795012, 21795012, 21795012, 21761555, 21681957, 21681957, 21681957, 21681957, 21681957, 22461532]",0,0,0
0,11,meta-llama/Llama-3.1-70B,134,205,2379405751,4186419490,1807013739,15237068,40605160,25234408,"[20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 21394902, 92969985, 23216395, 20776664, 20776664, 21564585, 21012673, 21012673, 23114981, 36467527, 21197006, 21197006, 21197006, 23233592, 100456203, 27063562, 32672005, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22752342, 22228680, 21567930, 21567930, 82018727, 21579982, 24776834, 21694746, 21694746, 21694746, 22431299, 31577037, 21795012, 21795012, 21795012, 21795012, 21795012, 21795012, 21761555, 21681957, 21681957, 21681957, 21681957, 21681957, 22461532, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746]",0,0,0
0,4,meta-llama/Llama-3.1-70B,14,140,1587870262,4688333121,3100462859,19637146,40931802,24476248,"[22104379, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20960902, 20913325, 20913325, 20913325, 20913325, 22768135, 20366546, 20366546, 20366546, 20366546, 20366546, 40865105, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 20448196, 25368092, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 21394902, 92969985, 23216395, 20776664, 20776664, 21564585, 21012673, 21012673, 23114981, 36467527, 21197006, 21197006, 21197006, 23233592, 100456203, 27063562, 32672005, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22752342, 22228680, 21567930, 21567930, 82018727, 21579982, 24776834, 21694746, 21694746, 21694746, 22431299, 31577037, 21795012, 21795012, 21795012, 21795012, 21795012, 21795012, 21761555, 21681957, 21681957, 21681957, 21681957, 21681957, 22461532, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 22588565, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 22431299, 21681957, 31917928, 21795012, 21795012, 21795012, 21795012, 91289503, 41040913, 22133280, 31481662]",0,0,0
0,19,meta-llama/Llama-3.1-70B,352,435,2823890667,4936069774,2112179107,5506267,41973794,25246406,"[21197006, 21197006, 21197006, 23233592, 100456203, 27063562, 32672005, 21521586, 21521586, 21521586, 21521586, 21521586, 21521586, 22752342, 22228680, 21567930, 21567930, 82018727, 21579982, 24776834, 21694746, 21694746, 21694746, 22431299, 31577037, 21795012, 21795012, 21795012, 21795012, 21795012, 21795012, 21761555, 21681957, 21681957, 21681957, 21681957, 21681957, 22461532, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 22588565, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 22431299, 21681957, 31917928, 21795012, 21795012, 21795012, 21795012, 91289503, 41040913, 22133280, 31481662, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 23487793, 23140944]",0,0,0
0,32,meta-llama/Llama-3.1-70B,224,290,3536356724,5117385157,1581028433,9661595,41238632,23689073,"[21795012, 21795012, 21795012, 21795012, 21795012, 21795012, 21761555, 21681957, 21681957, 21681957, 21681957, 21681957, 22461532, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 22588565, 21694746, 21694746, 21694746, 21694746, 21694746, 21694746, 22431299, 21681957, 31917928, 21795012, 21795012, 21795012, 21795012, 91289503, 41040913, 22133280, 31481662, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 23487793, 23140944, 22284637, 22284637, 22284637, 22284637, 24477684, 22325890, 22967379, 22405882]",0,0,0
0,43,meta-llama/Llama-3.1-70B,24,48,4880823975,5440178293,559354318,8617062,32104855,22923889,"[23140944, 22284637, 22284637, 22284637, 22284637, 24477684, 22325890, 22967379, 22405882, 22330690, 29221500, 22405882, 22405882, 23374110, 23603584, 22431436, 22431436, 22431436, 22431436, 22431436, 22431436, 22431436, 22431436]",0,0,0
0,37,meta-llama/Llama-3.1-70B,170,217,4382628210,5552273098,1169644888,661577,32579505,24718812,"[21795012, 21795012, 21795012, 21795012, 91289503, 41040913, 22133280, 31481662, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 22345324, 23487793, 23140944, 22284637, 22284637, 22284637, 22284637, 24477684, 22325890, 22967379, 22405882, 22330690, 29221500, 22405882, 22405882, 23374110, 23603584, 22431436, 22431436, 22431436, 22431436, 22431436, 22431436, 22431436, 22431436, 22418961, 22418961, 22418961, 22418961, 22418961]",0,0,0
