sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,35291938816,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,35409903616,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,35484614656,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,35679911936,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,35888316416,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,36120313856,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,36201578496,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,36506976256,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,36503044096,36507222016,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,34078720,34078720,0,0,0,0,0
5000000000,0,36506976256,36507222016,7864320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,41943040,34078720,0,0,0,0,0
5500000000,0,36506976256,36507222016,9175040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,43253760,34078720,0,0,0,0,0
6000000000,0,36497801216,36507222016,103546880,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,137625600,34078720,0,0,0,0,0
6500000000,0,36506976256,36507222016,103546880,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,142868480,39321600,0,0,0,0,0
7000000000,0,36506976256,36507222016,125829120,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165150720,39321600,0,0,0,0,0
