sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16725319680,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16905674752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17012629504,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17050378240,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,281018368,140509184,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17153138688,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,281018368,281018368,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,281018368,281018368,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17052475392,17179869184,144703488,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,425721856,281018368,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17148944384,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,425721856,425721856,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,425721856,425721856,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17071349760,17179869184,144703488,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,570425344,425721856,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,570425344,570425344,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17050378240,17179869184,146800640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,717225984,570425344,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17086029824,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,717225984,717225984,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17075544064,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,717225984,717225984,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,717225984,717225984,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17157332992,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,868220928,868220928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17169915904,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,868220928,868220928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1008730112,1008730112,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17083932672,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1149239296,1008730112,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17107001344,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1149239296,1008730112,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17159430144,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1149239296,1008730112,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17060864000,17179869184,276824064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1285554176,1008730112,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17086029824,17179869184,276824064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1285554176,1008730112,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17178304512,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1285554176,1145044992,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17163624448,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1423966208,1283457024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17041989632,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1423966208,1283457024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17121681408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1423966208,1423966208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17123778560,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1423966208,1423966208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1423966208,1423966208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17123778560,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1572864000,1572864000,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17151041536,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1572864000,1572864000,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17146847232,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1572864000,1572864000,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17069252608,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1572864000,1572864000,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1572864000,1572864000,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17035698176,17179869184,157286400,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1730150400,1572864000,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17023115264,17179869184,159383552,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1889533952,1730150400,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17121681408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1889533952,1889533952,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1889533952,1889533952,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17025212416,17179869184,161480704,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2051014656,1889533952,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17037795328,17179869184,161480704,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2051014656,1889533952,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
