sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16725319680,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16905674752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17012629504,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17176207360,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,23068672,12582912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17115389952,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,85983232,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17159430144,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,85983232,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,85983232,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17107001344,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17111195648,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17113292800,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17115389952,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17117487104,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17121681408,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17123778560,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17125875712,17179869184,73400320,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,85983232,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,159383552,159383552,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17178304512,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,180355072,159383552,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,44040192,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,224395264,180355072,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17127972864,17179869184,119537664,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,224395264,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17148944384,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17151041536,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17086029824,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17130070016,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17056669696,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17138458624,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17140555776,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17142652928,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17144750080,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17146847232,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17148944384,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17153138688,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17155235840,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17157332992,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17159430144,17179869184,41943040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,438304768,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17125875712,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,480247808,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17140555776,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,480247808,480247808,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17165721600,17179869184,27262976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,507510784,480247808,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17178304512,17179869184,27262976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,507510784,480247808,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17056669696,17179869184,134217728,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,641728512,507510784,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,641728512,641728512,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
