sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16725319680,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16905674752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17012629504,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17178304512,17179869184,6291456,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,12582912,6291456,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,6291456,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17125875712,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,37748736,37748736,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,33554432,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,71303168,37748736,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17107001344,17179869184,130023424,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,188743680,58720256,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17146847232,17179869184,130023424,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,188743680,58720256,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,188743680,188743680,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,308281344,308281344,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17146847232,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17119584256,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17151041536,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,343932928,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,18874368,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,362807296,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17153138688,17179869184,52428800,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,396361728,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17169915904,17179869184,52428800,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,396361728,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17178304512,17179869184,52428800,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,396361728,343932928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17178304512,17179869184,27262976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,404750336,377487360,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17157332992,17179869184,58720256,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,436207616,377487360,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17167818752,17179869184,58720256,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,436207616,377487360,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17151041536,17179869184,96468992,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,473956352,377487360,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17134264320,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,473956352,473956352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,473956352,473956352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17127972864,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,473956352,473956352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,473956352,473956352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17115389952,17179869184,81788928,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,555745280,473956352,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17104904192,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,555745280,555745280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,555745280,555745280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,555745280,555745280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17153138688,17179869184,35651584,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,591396864,555745280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17167818752,17179869184,35651584,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,591396864,555745280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17163624448,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,618659840,555745280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17176207360,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,618659840,555745280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,618659840,618659840,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17169915904,17179869184,29360128,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,648019968,618659840,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17127972864,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,648019968,648019968,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
