sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16725319680,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16905674752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17012629504,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17178304512,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,8388608,4194304,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,4194304,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17176207360,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,10485760,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17148944384,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,35651584,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17178304512,17179869184,23068672,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,44040192,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17178304512,17179869184,33554432,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,54525952,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17163624448,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,67108864,67108864,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,8388608,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75497472,67108864,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17178304512,17179869184,29360128,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,96468992,67108864,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17178304512,17179869184,39845888,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,106954752,67108864,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17117487104,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,106954752,106954752,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17161527296,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,106954752,106954752,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,106954752,106954752,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17178304512,17179869184,12582912,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,119537664,106954752,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17178304512,17179869184,25165824,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,132120576,106954752,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17178304512,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,146800640,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17079738368,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,161480704,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17163624448,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,161480704,161480704,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17178304512,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,165675008,161480704,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17178304512,17179869184,8388608,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,169869312,161480704,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17096515584,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,174063616,174063616,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17127972864,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,174063616,174063616,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,174063616,174063616,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17178304512,17179869184,16777216,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,190840832,174063616,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17178304512,17179869184,25165824,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,199229440,174063616,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17178304512,17179869184,37748736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,211812352,174063616,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17163624448,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,228589568,228589568,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,228589568,228589568,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17163624448,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,239075328,239075328,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17178304512,17179869184,12582912,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,251658240,239075328,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17178304512,17179869184,25165824,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,264241152,239075328,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17169915904,17179869184,12582912,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,276824064,264241152,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,289406976,289406976,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17174110208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,301989888,301989888,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17178304512,17179869184,14680064,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,316669952,301989888,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
