sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16083591168,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16175865856,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16215711744,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16521895936,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16624656384,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16737902592,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,17079738368,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,17125875712,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,17178304512,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5000000000,0,17044086784,17179869184,0,137438953472,146800640,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,0,0,0,0
5500000000,0,17071349760,17179869184,0,137438953472,146800640,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,0,0,0,0
6000000000,0,17132167168,17179869184,0,137438953472,146800640,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,0,0,0,0
6500000000,0,17079738368,17179869184,0,137438953472,146800640,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,0,0,0,0
7000000000,0,17056669696,17179869184,0,137438953472,146800640,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,0,0,0,0
7500000000,0,17025212416,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
8000000000,0,16945520640,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
8500000000,0,16941326336,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
9000000000,0,16949714944,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
9500000000,0,16937132032,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
10000000000,0,16928743424,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
10500000000,0,16756776960,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
11000000000,0,16756776960,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
11500000000,0,16779845632,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,146800640,146800640,0,0,0
