tier,policy,workload,status,mean_ttft_ms,mean_tpot_ms,mean_latency_ms,p99_ttft_ms,p99_tpot_ms,num_requests,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,tier_transition_bytes_total,tier_transition_mb_total
ethernet,harp,sharegpt_1000,ok,119487.299908901,47.171543442,131603.201272409,253701.8438693,96.72991049999996,1000.0,0.0,24110956544.0,0.0,24066916352.0,48177872896.0,45946.0
ethernet,largest_kv,sharegpt_1000,ok,314548.78211667103,82.229703671,333583.74492619,700878.7635361799,322.42957656,1000.0,0.0,72230109184.0,0.0,72230109184.0,144460218368.0,137768.0
ethernet,lru,sharegpt_1000,ok,340480.643898885,85.081236166,359712.58453544,710457.03089225,356.4308187999999,1000.0,0.0,25608323072.0,0.0,25608323072.0,51216646144.0,48844.0
ethernet,oldest,sharegpt_1000,ok,840699.8213742239,235.807240071,894183.3023911619,1900750.0642043,1183.2933641599998,1000.0,0.0,58298728448.0,0.0,58298728448.0,116597456896.0,111196.0
ethernet,random,sharegpt_1000,ok,374874.24903817,104.874046789,396450.699394051,776858.26989725,460.9206170299999,1000.0,0.0,27504148480.0,0.0,27504148480.0,55008296960.0,52460.0
ethernet,smallest_kv,sharegpt_1000,ok,328952.822230031,88.52296502799999,349267.420235768,707124.04945325,333.4604457099998,1000.0,0.0,12310282240.0,0.0,12310282240.0,24620564480.0,23480.0
ethernet,tail,sharegpt_1000,ok,241148.527103109,58.346212992,254535.963709093,510065.31733781,178.91215353999996,1000.0,0.0,22913482752.0,0.0,22913482752.0,45826965504.0,43704.0
ethernet,evicpress,sharegpt_1000,ok,319463.13773592294,86.878952198,338121.17383535,669193.12974298,469.21192067999993,1000.0,11924406272.0,0.0,11924406272.0,0.0,23848812544.0,22744.0
pcie_nvme,harp,sharegpt_1000,ok,117584.750490273,46.574727558,129554.006153445,249585.7950713,94.87960565999998,1000.0,0.0,24110956544.0,0.0,24066916352.0,48177872896.0,45946.0
pcie_nvme,largest_kv,sharegpt_1000,ok,303448.365442931,79.62863298299999,321901.28345911496,676689.35521202,313.3679270399999,1000.0,0.0,72230109184.0,0.0,72230109184.0,144460218368.0,137768.0
pcie_nvme,lru,sharegpt_1000,ok,336426.824784505,84.13345564699999,355448.868445924,701569.0443342499,351.5951643599999,1000.0,0.0,25608323072.0,0.0,25608323072.0,51216646144.0,48844.0
pcie_nvme,oldest,sharegpt_1000,ok,831736.666696077,233.432297041,884697.072609021,1880938.8685303,1170.0771355299996,1000.0,0.0,58298728448.0,0.0,58298728448.0,116597456896.0,111196.0
pcie_nvme,random,sharegpt_1000,ok,319548.507153447,87.4235637,339389.75893946097,718506.76899881,341.3411381099999,1000.0,0.0,26398949376.0,0.0,26398949376.0,52797898752.0,50352.0
pcie_nvme,smallest_kv,sharegpt_1000,ok,326764.41991930496,88.03990560099999,346961.991200548,702372.0736602499,332.46968131999984,1000.0,0.0,12310282240.0,0.0,12310282240.0,24620564480.0,23480.0
pcie_nvme,tail,sharegpt_1000,ok,237465.389955052,57.66359117,250686.608137557,502077.54145981,177.17548883999993,1000.0,0.0,22913482752.0,0.0,22913482752.0,45826965504.0,43704.0
pcie_nvme,evicpress,sharegpt_1000,ok,319463.13773592294,86.878952198,338121.17383535,669193.12974298,469.21192067999993,1000.0,11924406272.0,0.0,11924406272.0,0.0,23848812544.0,22744.0
cxl,harp,sharegpt_1000,ok,115901.536885448,46.048397044,127741.444412865,245949.7841723,93.41446694999996,1000.0,0.0,24110956544.0,0.0,24066916352.0,48177872896.0,45946.0
cxl,largest_kv,sharegpt_1000,ok,293493.328017339,77.296236075,311424.32628944097,654998.1421475,307.47040740999995,1000.0,0.0,72230109184.0,0.0,72230109184.0,144460218368.0,137768.0
cxl,lru,sharegpt_1000,ok,332884.689969408,83.306927428,351723.57757523604,693797.3831612499,347.3910196699999,1000.0,0.0,25608323072.0,0.0,25608323072.0,51216646144.0,48844.0
cxl,oldest,sharegpt_1000,ok,823773.380265315,231.322861681,876269.141132101,1863333.0273633,1158.2904421099995,1000.0,0.0,58298728448.0,0.0,58298728448.0,116597456896.0,111196.0
cxl,random,sharegpt_1000,ok,331361.59447057097,81.050299235,350188.72245808097,689879.71069056,300.4636669899999,1000.0,0.0,28982640640.0,0.0,28982640640.0,57965281280.0,55280.0
cxl,smallest_kv,sharegpt_1000,ok,325012.06892067,87.66001707199999,345116.717264617,698566.1690122499,331.79793768999986,1000.0,0.0,12310282240.0,0.0,12310282240.0,24620564480.0,23480.0
cxl,tail,sharegpt_1000,ok,234264.646864774,57.07588473399999,247342.008700216,495135.83501781,175.72214223999995,1000.0,0.0,22913482752.0,0.0,22913482752.0,45826965504.0,43704.0
cxl,evicpress,sharegpt_1000,ok,319463.13773592294,86.878952198,338121.17383535,669193.12974298,469.21192067999993,1000.0,11924406272.0,0.0,11924406272.0,0.0,23848812544.0,22744.0
ssd,harp,sharegpt_1000,ok,115797.091559724,46.018665296,127629.668480343,245733.3295583,93.32398334999998,1000.0,255852544.0,23855104000.0,255852544.0,23716819350.0,48083628438.0,45856.12148094177
ssd,largest_kv,sharegpt_1000,ok,292640.34699691494,77.096877127,310526.740906129,653143.4039508599,306.88719124,1000.0,0.0,72230109184.0,0.0,72230109184.0,144460218368.0,137768.0
ssd,lru,sharegpt_1000,ok,332740.58309408,83.27614032099999,351572.452148332,693471.49809725,347.28032050999985,1000.0,0.0,25608323072.0,0.0,25608323072.0,51216646144.0,48844.0
ssd,oldest,sharegpt_1000,ok,823219.089353531,231.177023769,875682.6449727969,1862099.5532433,1157.3928814999997,1000.0,0.0,58298728448.0,0.0,58298728448.0,116597456896.0,111196.0
ssd,random,sharegpt_1000,ok,315794.176126048,86.289970922,334933.246531767,695154.61719471,344.59058334999986,1000.0,0.0,29320282112.0,0.0,29320282112.0,58640564224.0,55924.0
ssd,smallest_kv,sharegpt_1000,ok,325220.732184406,87.71847695599999,345337.946957641,699017.8584842499,332.11036166999986,1000.0,0.0,12310282240.0,0.0,12310282240.0,24620564480.0,23480.0
ssd,tail,sharegpt_1000,ok,234165.079606838,57.06730672,247239.008773712,494919.68592981,175.77531511999993,1000.0,0.0,22913482752.0,0.0,22913482752.0,45826965504.0,43704.0
ssd,evicpress,sharegpt_1000,ok,391094.229198646,110.322976793,415388.716490268,877252.8870041299,553.8289882999999,1000.0,41304981504.0,0.0,41304981504.0,0.0,82609963008.0,78783.0
cxl,harp,sharegpt_1000,ok,115901.536885448,46.048397044,127741.444412865,245949.7841723,93.41446694999996,1000.0,0.0,24110956544.0,0.0,24066916352.0,48177872896.0,45946.0
cxl,largest_kv,sharegpt_1000,ok,293493.328017339,77.296236075,311424.32628944097,654998.1421475,307.47040740999995,1000.0,0.0,72230109184.0,0.0,72230109184.0,144460218368.0,137768.0
cpu_dram,evicpress,sharegpt_1000,ok,391094.68730295,110.32303776,415389.19203106797,877253.67957213,553.8289882999999,1000.0,41304981504.0,0.0,41304981504.0,0.0,82609963008.0,78783.0
cpu_dram,harp,sharegpt_1000,ok,115778.86596054099,46.010116089,127609.37187835299,245684.90569729998,93.30769880999996,1000.0,24110956544.0,0.0,24066916352.0,0.0,48177872896.0,45946.0
cpu_dram,largest_kv,sharegpt_1000,ok,292765.124976216,77.12562839900001,310657.94647821196,653411.4887786299,306.95651795,1000.0,72230109184.0,0.0,72230109184.0,0.0,144460218368.0,137768.0
cpu_dram,lru,sharegpt_1000,ok,332627.42518074997,83.246929554,351453.015181231,693232.81695625,347.08571215999984,1000.0,25608323072.0,0.0,25608323072.0,0.0,51216646144.0,48844.0
cpu_dram,oldest,sharegpt_1000,ok,823192.3345954799,231.168956823,875654.193916233,1862048.3152172999,1157.4295312799998,1000.0,58298728448.0,0.0,58298728448.0,0.0,116597456896.0,111196.0
cpu_dram,random,sharegpt_1000,ok,292705.075509606,83.919822527,310497.00155650097,641795.56426769,387.4910682599998,1000.0,26715619328.0,0.0,26715619328.0,0.0,53431238656.0,50956.0
cpu_dram,smallest_kv,sharegpt_1000,ok,324888.03474946995,87.633280856,344986.123220375,698296.76382125,331.75307716999987,1000.0,12310282240.0,0.0,12310282240.0,0.0,24620564480.0,23480.0
cpu_dram,tail,sharegpt_1000,ok,234032.535926506,57.033377740999995,247099.477662122,494632.43515181,175.61788601999993,1000.0,22913482752.0,0.0,22913482752.0,0.0,45826965504.0,43704.0
